Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Trening siłowy,2020-02-17 20:04:49,false,"Strength","0.00","273","00:45:23","112","174","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","7","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:45:23","00:45:23","--","--"
Trening siłowy,2020-02-14 10:15:43,false,"Strength","0.00","176","00:39:49","102","138","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","25","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:49","00:39:49","--","--"
Trening siłowy,2020-02-11 19:11:30,false,"Strength","0.00","137","00:22:49","104","141","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","4","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:22:49","00:22:49","--","--"
Trening siłowy,2020-02-07 19:24:22,false,"Strength","0.00","271","00:57:57","97","150","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","20","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:57:54","01:00:27","--","--"
Trening siłowy,2020-02-03 19:58:53,false,"Strength","0.00","229","00:52:08","103","151","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","9","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:52:08","00:52:08","--","--"
Trening siłowy,2020-01-31 14:23:55,false,"Strength","0.00","164","00:39:59","99","145","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","13","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:34","00:40:04","--","--"
Trening siłowy,2020-01-29 13:49:54,false,"Strength","0.00","135","00:43:55","87","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","33","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:43:55","00:43:55","--","--"
Trening siłowy,2020-01-24 14:14:05,false,"Strength","0.00","145","00:34:48","97","146","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","31","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:34:48","00:34:48","--","--"
Trening siłowy,2020-01-20 15:44:53,false,"Strength","0.00","129","00:41:07","87","133","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","11","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:38:33","00:41:10","--","--"
Trening siłowy,2020-01-17 11:58:44,false,"Strength","0.00","187","00:39:40","96","136","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","7","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:40","00:39:40","--","--"
Trening siłowy,2020-01-13 18:55:01,false,"Strength","0.00","566","00:43:51","156","183","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","10","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:43:51","00:43:51","--","--"
Kolarstwo,2020-01-11 11:54:56,false,"Gdańsk Kolarstwo","32.38","935","01:53:51","136","174","--","--","17.1","38.9","279","277","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:52:26","02:20:30","9","132"
Trening siłowy,2020-01-10 18:43:49,false,"Strength","0.00","282","00:42:28","112","184","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","13","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:42:11","00:42:37","--","--"
Trening siłowy,2020-01-07 15:13:58,false,"Strength","0.00","211","00:44:43","97","137","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","5","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:44:43","00:44:43","--","--"
Trening siłowy,2020-01-03 17:55:35,false,"Strength","0.00","147","00:39:15","88","145","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","30","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:15","00:39:15","--","--"
Trening siłowy,2019-12-28 14:08:25,false,"Strength","0.00","187","00:44:21","91","160","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","4","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:44:21","00:44:21","--","--"
Trening siłowy,2019-12-24 12:34:46,false,"Strength","0.00","172","00:28:00","107","165","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","12","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:28:00","00:28:00","--","--"
Trening siłowy,2019-12-21 17:32:22,false,"Strength","0.00","113","00:30:18","91","120","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","24","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:30:06","00:30:18","--","--"
Trening siłowy,2019-12-16 13:03:11,false,"Strength","0.00","198","00:35:36","110","141","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","25","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:35:36","00:35:36","--","--"
Trening siłowy,2019-12-13 13:23:00,false,"Strength","0.00","128","00:28:57","98","143","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","7","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:28:57","00:28:57","--","--"
Trening siłowy,2019-12-10 12:51:24,false,"Strength","0.00","183","00:38:07","103","137","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","10","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:38:07","00:38:07","--","--"
Trening siłowy,2019-12-06 16:56:35,false,"Strength","0.00","263","00:37:00","115","181","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","24","3","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:36:28","00:37:00","--","--"
Trening siłowy,2019-12-03 15:56:13,false,"Strength","0.00","105","00:37:09","87","165","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","51","5","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:36:01","00:37:09","--","--"
Trening siłowy,2019-11-26 11:24:34,false,"Strength","0.00","275","00:38:21","121","170","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","37","5","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:34:32","00:38:21","--","--"
Trening siłowy,2019-11-20 19:18:28,false,"Strength","0.00","558","01:10:58","127","160","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","76","7","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:07:02","01:10:58","--","--"
Trening siłowy,2019-11-18 19:23:38,false,"Strength","0.00","448","00:55:49","122","171","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","77","5","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:47:45","00:55:53","--","--"
Bieganie,2019-11-16 16:45:41,false,"Gdańsk Biegi","4.45","387","00:26:50","171","191","160","178","6:02","4:28","31","41","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:26:39","00:26:50","47","79"
Bieganie,2019-11-15 11:08:59,false,"Biegi","5.07","590","00:57:52","136","182","13","198","11:24","5:46","86","85","6.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:57:31","00:57:52","100","117"
Trening siłowy,2019-11-12 15:47:28,false,"Strength","0.00","171","00:46:14","90","129","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","155","16","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:33:05","00:46:14","--","--"
Bieganie,2019-11-08 11:07:15,false,"Biegi","5.27","723","00:58:12","153","183","13","178","11:02","7:04","28","28","7.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:57:58","00:58:20","128","139"
Trening siłowy,2019-11-06 17:55:29,false,"Strength","0.00","496","00:46:48","141","165","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","65","6","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:43:29","00:46:48","--","--"
Bieganie,2019-11-01 09:36:37,false,"Gdańsk Biegi","5.56","447","00:33:54","160","188","158","182","6:06","4:47","53","58","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:33:04","00:33:56","58","106"
Bieganie,2019-10-30 19:35:04,false,"Gdańsk Biegi","6.63","526","00:38:34","164","183","161","180","5:49","4:29","59","67","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:37:24","01:34:09","36","86"
Trening siłowy,2019-10-29 11:28:46,false,"Strength","0.00","352","00:49:38","111","164","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","113","9","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:45:39","00:49:38","--","--"
Bieganie,2019-10-25 18:40:06,false,"Gdańsk Biegi","3.27","480","01:18:42","114","157","21","234","24:03","3:53","--","13","1.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:37:39","01:18:42","-11","-2"
Trening siłowy,2019-10-24 15:17:15,false,"Strength","0.00","185","00:44:51","93","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","89","9","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:41:29","00:44:51","--","--"
Kolarstwo,2019-10-20 11:36:36,false,"Gdańsk Kolarstwo","20.52","651","01:18:53","134","167","--","--","15.6","40.8","246","214","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:17:00","01:30:43","18","122"
Bieganie,2019-10-15 18:08:09,false,"Gdańsk Biegi","6.62","1,058","01:23:31","166","188","51","245","12:37","2:07","164","169","1.54","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:02:53","01:23:31","27","85"
Trening siłowy,2019-10-14 16:04:32,false,"Strength","0.00","468","00:48:14","136","166","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","49","7","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:42:40","00:48:14","--","--"
Kolarstwo,2019-10-13 10:49:33,false,"Gdańsk Kolarstwo","48.61","1,179","02:32:33","126","170","--","--","19.1","46.7","136","150","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","02:30:32","03:42:59","-10","86"
Bieganie,2019-10-11 18:41:03,false,"Gdańsk Biegi","4.89","698","01:20:01","136","180","38","248","16:22","2:28","9","7","1.61","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:48:45","01:20:01","40","86"
Trening siłowy,2019-10-09 16:06:27,false,"Strength","0.00","140","00:35:55","90","144","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","71","6","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:35:23","00:35:55","--","--"
Trening siłowy,2019-10-04 15:07:53,false,"Strength","0.00","138","00:47:13","84","134","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","46","6","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:42:58","00:47:16","--","--"
Trening siłowy,2019-10-01 16:28:02,false,"Strength","0.00","330","00:39:22","128","165","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","10","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:11","00:39:33","--","--"
Bieganie,2019-09-27 18:39:04,false,"Gdańsk Biegi","6.23","926","01:38:14","147","188","33","235","15:46","2:42","122","125","1.94","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:05:05","01:38:14","33","74"
Bieganie,2019-09-24 18:10:20,false,"Gdańsk Biegi","5.98","812","01:16:29","151","187","48","232","12:48","2:35","15","16","1.61","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:56:22","01:16:29","25","56"
Trening siłowy,2019-09-23 16:25:38,false,"Strength","0.00","343","01:02:41","120","169","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","28","3","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:02:26","01:02:55","--","--"
Bieganie,2019-09-20 18:40:07,false,"Gdańsk Biegi","5.69","1,002","01:44:59","148","194","34","245","18:26","2:41","10","13","1.62","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:05:17","01:44:59","31","62"
Bieganie,2019-09-17 18:06:30,false,"Gdańsk Biegi","5.97","420","01:14:40","109","147","52","245","12:30","2:27","61","63","1.55","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:01:48","01:14:42","33","71"
Trening siłowy,2019-09-17 16:09:47,false,"Strength","0.00","121","00:46:41","77","146","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","93","10","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:39:02","00:46:47","--","--"
Bieganie,2019-09-13 18:37:34,false,"Gdańsk Biegi","6.46","1,045","01:49:20","146","188","31","218","16:56","2:40","3","12","1.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:09:08","01:49:20","-29","-13"
Trening siłowy,2019-09-13 13:15:59,false,"Strength","0.00","141","00:37:56","90","131","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","89","8","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:34:44","00:38:05","--","--"
Trening siłowy,2019-09-09 15:57:06,false,"Strength","0.00","264","00:46:57","106","158","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","37","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:46:54","00:47:00","--","--"
Bieganie,2019-09-06 18:37:31,false,"Gdańsk Biegi","6.48","755","01:52:13","122","174","32","245","17:18","1:58","85","90","1.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:06:29","01:52:17","-49","99"
Trening siłowy,2019-09-04 17:07:20,false,"Strength","0.00","173","00:43:04","92","160","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","171","14","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:27:20","00:43:04","--","--"
Bieganie,2019-08-30 18:43:47,false,"Gdańsk Biegi","5.74","850","01:22:17","152","188","46","245","14:21","2:50","149","153","1.53","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:00:16","01:22:17","-13","130"
Bieganie,2019-08-27 18:05:50,false,"Gdańsk Biegi","6.58","995","01:26:23","159","190","45","222","13:07","2:24","54","53","1.70","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:03:58","01:26:23","2","56"
Kolarstwo,2019-08-26 16:53:18,false,"Gdańsk Kolarstwo","32.41","673","01:52:40","112","166","--","--","17.3","40.9","119","120","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:51:15","02:24:46","-23","61"
Wioślarstwo,2019-08-25 11:10:43,false,"Kościerzyna (Gmina) Row","16,995","1,177","04:42:54","97","132","--","--","8:20","3:39","--","--","0.00","0.0","0.0","0.0","0.0","0.0","4507","--","--","0:00","0.0","0:00","Nie","05:06.15","34","0.0","03:22:43","04:42:54","--","--"
Kolarstwo,2019-08-24 17:29:42,false,"Gdańsk Kolarstwo","13.55","369","00:42:19","128","168","--","--","19.2","31.7","92","15","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:41:43","00:46:15","-4","78"
Kolarstwo,2019-08-24 15:42:58,false,"Gdańsk Kolarstwo","13.60","327","00:40:53","124","148","--","--","20.0","42.9","23","101","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:40:21","00:45:31","1","85"
Bieganie,2019-08-23 18:38:09,false,"Gdańsk Biegi","5.98","1,055","01:43:55","149","191","36","229","17:22","2:12","37","40","1.62","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:07:14","01:43:55","-16","54"
Kolarstwo,2019-08-23 18:06:59,false,"Gdańsk Kolarstwo","4.11","119","00:11:42","134","160","--","--","21.1","53.3","11","43","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:11:33","00:12:53","43","85"
Bieganie,2019-08-20 18:11:22,false,"Gdańsk Biegi","5.77","891","01:16:38","157","190","48","245","13:17","2:36","30","32","1.57","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:01:49","01:16:38","100","140"
Trening siłowy,2019-08-20 15:51:51,false,"Strength","0.00","179","00:42:45","92","152","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","11","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:42:45","00:42:45","--","--"
Chodzenie,2019-08-17 11:35:07,false,"Jabłonka Spacerowanie","15.01","1,650","04:25:10","106","166","79","237","17:40","9:27","739","742","0.72","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:04.52","16","0.0","03:37:11","04:25:10","986","1,710"
Chodzenie,2019-08-15 13:16:02,false,"Strba Spacerowanie","18.01","2,164","05:57:54","116","183","59","245","19:52","4:39","925","937","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:12.32","19","0.0","04:49:51","06:08:22","1,207","2,053"
Bieganie,2019-08-09 18:46:36,false,"Gdańsk Biegi","3.95","769","01:08:31","151","186","38","218","17:22","3:03","101","104","1.50","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:42:40","01:08:31","12","60"
Kolarstwo,2019-08-03 08:36:00,false,"Gdańsk Kolarstwo","151.89","3,681","07:26:12","133","169","--","--","20.4","54.7","349","446","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","07:19:02","11:06:20","-16","86"
Bieganie,2019-08-02 18:46:49,false,"Gdańsk Biegi","5.55","957","01:37:34","142","177","37","226","17:35","2:26","17","18","1.55","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:04:24","01:37:48","23","57"
Kolarstwo,2019-07-26 17:17:47,false,"Pruszcz Gdański Kolarstwo","12.90","505","00:38:54","147","170","--","--","19.9","33.2","125","56","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","10:15.08","3","0.0","00:38:26","00:38:58","14","93"
Kolarstwo,2019-07-26 07:35:17,false,"Gdańsk Kolarstwo","35.37","979","01:21:20","146","175","--","--","26.1","52.2","105","167","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:04.30","8","0.0","01:20:15","01:21:20","-7","71"
Trening siłowy,2019-07-24 07:15:30,false,"Strength","0.00","261","00:42:26","105","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","6","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:33:26","00:42:54","--","--"
Kolarstwo,2019-07-20 15:45:23,false,"Gdańsk Kolarstwo","46.10","1,713","03:55:57","121","180","--","--","11.7","48.2","361","361","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:00.68","10","0.0","02:42:51","03:56:01","3","144"
Trening siłowy,2019-07-20 13:18:28,false,"Strength","0.00","407","00:49:14","121","163","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","17","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:49:14","00:49:14","--","--"
Bieganie,2019-07-19 18:37:35,false,"Gdańsk Biegi","6.43","1,184","01:45:53","152","190","41","242","16:28","2:52","59","62","1.48","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","07:47.51","7","0.0","01:14:27","01:51:24","53","89"
Kolarstwo,2019-07-18 17:27:14,false,"Gdańsk Kolarstwo","28.44","1,049","02:30:57","120","160","--","--","11.3","43.3","285","289","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","09:35.20","6","0.0","01:45:41","02:30:57","43","164"
Kolarstwo,2019-07-16 17:24:25,false,"Gdańsk Kolarstwo","44.45","1,534","02:34:50","144","180","--","--","17.2","45.4","395","392","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","09:47.17","9","0.0","02:16:53","02:35:03","58","183"
