Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Chodzenie,2021-10-03 16:20:15,false,"Gdańsk Chodzenie","9.76","641","01:54:19","88","134","115","129","11:43","9:49","85","86","0.74","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","08:29.80","10","0.0","01:53:12","01:59:22","8","88"
Kolarstwo,2021-10-02 16:13:43,false,"Gdańsk Kolarstwo","41.18","549","01:46:06","107","142","--","--","23.3","45.0","153","247","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:46:06.27","1","0.0","01:45:08","01:54:45","-11","81"
Bieganie,2021-09-28 18:38:16,false,"Gdańsk Bieganie","4.73","481","01:21:02","116","149","36","216","17:08","2:43","273","281","1.62","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:21:01.97","1","0.0","00:56:02","01:21:02","7","229"
Chodzenie,2021-09-22 11:17:28,false,"Santanyí Chodzenie","4.99","361","01:14:42","106","132","90","155","14:58","10:54","124","128","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","13:27.94","5","0.0","00:00:00","01:20:40","-19","164"
Chodzenie,2021-09-20 11:22:06,false,"Calvià Chodzenie","8.05","424","01:26:38","104","135","103","155","10:46","1:46","126","122","0.85","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:43.73","9","0.0","00:00:00","01:47:53","103","159"
Chodzenie,2021-09-17 10:25:46,false,"Calvià Chodzenie","7.75","549","01:43:41","109","160","100","132","13:23","9:59","112","83","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","11:57.98","8","0.0","00:00:00","02:01:12","121","188"
Chodzenie,2021-09-15 17:13:02,false,"Gdańsk Chodzenie","6.42","412","01:18:54","108","121","107","128","12:17","10:27","44","43","0.76","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","05:04.21","7","0.0","00:00:00","01:23:56","204","250"
Bieganie,2021-09-14 18:41:24,false,"Gdańsk Bieganie","5.10","571","01:13:55","125","156","52","224","14:29","2:34","420","431","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:13:55.30","1","0.0","00:55:44","01:13:55","20","251"
Kolarstwo,2021-09-10 14:20:30,false,"Gdańsk Kolarstwo","34.64","975","01:36:44","137","172","--","--","21.5","39.3","174","197","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:36:44.14","1","0.0","00:00:00","01:43:55","32","129"
Bieganie,2021-09-07 18:44:58,false,"Gdańsk Bieganie","3.47","458","00:53:23","132","168","47","238","15:24","2:59","171","173","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","53:23.04","1","0.0","00:37:15","00:53:23","-107","105"
Chodzenie,2021-09-05 10:14:53,false,"Gdańsk Chodzenie","7.83","505","01:35:00","98","123","101","132","12:08","9:27","77","86","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","10:14.37","8","0.0","00:00:00","01:36:00","-129","-37"
Kolarstwo,2021-09-01 17:37:04,false,"Gdańsk Kolarstwo","24.24","643","01:31:58","123","159","--","--","15.8","48.1","231","261","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:31:57.80","1","0.0","01:29:05","01:45:51","-69","40"
Bieganie,2021-08-24 18:36:49,false,"Gdańsk Bieganie","5.49","758","01:18:33","144","174","48","245","14:18","2:27","96","102","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:18:33.12","1","0.0","00:59:29","01:19:05","-49","72"
Kolarstwo,2021-08-23 16:53:16,false,"Gdańsk Kolarstwo","21.37","637","01:15:32","135","174","--","--","17.0","41.5","429","459","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:15:31.98","1","0.0","00:00:00","01:58:48","28","133"
Kolarstwo,2021-08-22 14:21:07,false,"Gdańsk Kolarstwo","23.56","704","01:08:16","139","175","--","--","20.7","40.1","93","106","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:08:15.73","1","0.0","01:05:29","01:08:28","-2","72"
Bieganie,2021-08-10 18:41:37,false,"Gdańsk Bieg","4.23","367","01:00:24","114","150","47","235","14:16","2:02","95","109","1.51","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:00:23.78","1","0.0","00:46:28","01:00:24","8","132"
Bieganie,2021-08-03 18:37:24,false,"Gdańsk Bieg","3.92","393","00:45:16","134","175","59","229","11:33","2:35","439","441","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","45:16.36","1","0.0","00:41:51","01:19:34","-31","114"
Kolarstwo,2021-07-29 15:58:06,false,"Gdańsk Kolarstwo","74.36","1,414","04:04:10","118","165","--","--","18.3","43.7","502","539","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","04:04:09.72","1","0.0","04:01:10","05:21:32","-15","145"
Bieganie,2021-07-27 18:37:25,false,"Gdańsk Bieg","3.64","444","00:42:31","147","178","58","229","11:42","2:52","520","528","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","42:30.57","1","0.0","00:38:39","01:23:38","-52","228"
Bieganie,2021-07-20 18:43:03,false,"Gdańsk Bieg","3.29","402","00:40:55","142","175","63","203","12:26","2:32","361","411","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","40:54.77","1","0.0","00:37:48","01:16:05","-63","215"
Kolarstwo,2021-07-14 15:46:39,false,"Gdańsk Kolarstwo","55.17","1,273","03:00:37","124","179","--","--","18.3","46.3","415","494","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:00:37.34","1","0.0","02:58:34","03:57:10","137","309"
Kolarstwo,2021-07-12 15:51:20,false,"Gdańsk Kolarstwo","25.58","774","01:13:49","140","179","--","--","20.8","42.4","189","219","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:13:49.29","1","0.0","01:11:47","01:18:53","146","257"
Bieganie,2021-07-06 18:40:14,false,"Gdańsk Bieg","3.25","449","00:40:15","153","188","61","210","12:24","2:55","535","530","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","40:14.69","1","0.0","00:36:57","01:19:15","11","246"
Kolarstwo,2021-06-29 16:07:13,false,"Gdańsk Kolarstwo","39.83","871","01:56:39","129","171","--","--","20.5","44.7","377","375","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:56:38.91","1","0.0","01:55:47","02:11:49","-21","108"
Kolarstwo,2021-06-28 15:27:05,false,"Gdańsk Kolarstwo","67.46","1,383","03:38:21","121","158","--","--","18.5","48.0","185","214","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:38:20.79","1","0.0","03:34:39","04:10:12","-46","52"
Kolarstwo,2021-06-23 15:28:29,false,"Gdańsk Kolarstwo","39.06","851","02:05:11","120","151","--","--","18.7","46.8","386","424","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:05:10.83","1","0.0","02:04:13","02:21:23","1","111"
Bieganie,2021-06-22 18:40:44,false,"Gdańsk Bieg","2.96","381","00:36:08","147","181","57","238","12:13","2:44","501","485","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","36:07.61","1","0.0","00:31:39","01:13:32","-96","169"
Kolarstwo,2021-06-16 16:59:52,false,"Gdańsk Kolarstwo","48.98","1,082","02:38:17","121","171","--","--","18.6","42.7","231","216","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:38:16.57","1","0.0","02:35:13","03:44:16","-12","82"
Bieganie,2021-06-15 18:41:46,false,"Gdańsk Bieg","2.81","325","00:33:43","138","170","68","232","12:00","2:36","4","7","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","33:42.58","1","0.0","00:30:16","01:02:53","-132","64"
Kolarstwo,2021-06-14 16:29:11,false,"Gdańsk Kolarstwo","25.72","620","01:23:09","121","178","--","--","18.6","38.3","118","118","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:23:08.89","1","0.0","01:21:33","01:30:46","-200","-37"
Bieganie,2021-06-08 18:41:34,false,"Gdańsk Bieg","2.36","300","00:31:42","139","181","58","215","13:25","2:13","177","134","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","31:41.62","1","0.0","00:29:11","00:58:54","-63","66"
Kolarstwo,2021-06-03 10:05:13,false,"Gdańsk Kolarstwo","65.28","1,542","04:13:25","117","161","--","--","15.5","46.6","480","501","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","04:13:24.59","1","0.0","04:11:12","05:08:40","-24","215"
Kolarstwo,2021-06-02 15:28:39,false,"Gdańsk Kolarstwo","26.20","776","01:21:40","138","167","--","--","19.3","44.5","207","217","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:21:39.96","1","0.0","01:21:00","01:29:49","5","97"
Bieganie,2021-06-01 18:46:10,false,"Gdańsk Bieg","2.73","289","00:32:45","132","167","57","245","11:59","2:52","--","--","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","32:44.66","1","0.0","00:29:37","01:04:32","44","65"
Kolarstwo,2021-05-31 15:39:18,false,"Gdańsk Kolarstwo","40.65","942","02:18:03","123","175","--","--","17.7","49.4","131","159","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:18:03.18","1","0.0","02:16:17","02:41:11","-7","99"
Bieganie,2021-05-25 18:38:43,false,"Gdańsk Bieg","3.62","393","00:46:30","132","178","58","232","12:52","1:58","168","191","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","46:30.07","1","0.0","00:42:18","01:22:03","39","112"
Kolarstwo,2021-05-24 15:29:52,false,"Gdańsk Kolarstwo","47.23","1,126","02:46:54","123","177","--","--","17.0","49.4","229","246","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:46:54.36","1","0.0","02:42:58","03:51:06","--","146"
Kolarstwo,2021-05-19 16:20:39,false,"Gdańsk Kolarstwo","22.01","631","01:41:14","114","154","--","--","13.0","46.3","118","131","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:41:14.05","1","0.0","01:39:29","02:40:49","4","97"
Bieganie,2021-05-18 18:35:37,false,"Gdańsk Bieg","3.26","272","00:40:10","118","152","56","249","12:20","2:35","115","142","1.44","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","40:10.25","1","0.0","00:35:54","01:21:05","16","90"
Bieganie,2021-05-15 13:17:00,false,"Gdańsk Bieg","4.26","490","01:14:36","119","157","44","218","17:32","2:45","54","55","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:14:36.46","1","0.0","00:49:50","01:14:36","39","72"
Kolarstwo,2021-05-14 15:52:01,false,"Gdańsk Kolarstwo","46.60","1,189","02:45:09","123","170","--","--","16.9","42.2","359","381","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:45:08.75","1","0.0","02:42:40","03:23:16","-16","136"
Kolarstwo,2021-05-12 16:37:27,false,"Gdańsk Kolarstwo","35.80","988","02:05:34","132","177","--","--","17.1","51.3","299","310","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:05:33.51","1","0.0","02:02:19","03:10:52","27","140"
Kolarstwo,2021-05-10 15:44:51,false,"Gdańsk Kolarstwo","37.90","1,064","02:14:55","131","177","--","--","16.9","39.0","141","157","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:14:55.29","1","0.0","02:12:10","02:37:03","-25","81"
Bieganie,2021-05-08 13:14:16,false,"Gdańsk Bieg","4.90","616","01:13:56","136","186","42","245","15:05","2:29","270","276","1.59","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:13:55.80","1","0.0","00:50:32","01:13:56","-59","30"
Kolarstwo,2021-05-01 15:16:58,false,"Gdańsk Kolarstwo","29.39","574","01:24:24","119","159","--","--","20.9","42.3","136","132","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:24:24.15","1","0.0","01:22:26","01:32:34","-7","83"
Bieganie,2021-04-24 15:09:40,false,"Gdańsk Bieg","4.52","518","01:13:20","120","156","44","238","16:13","2:56","17","28","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:13:20.48","1","0.0","00:54:50","01:13:20","42","66"
