Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-07 17:25:19,false,"Warszawa Bieganie","5.13","297","00:27:27","168","186","169","178","5:21","4:37","13","2","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:39.39","6","0.0","00:27:20","00:27:27","84","96"
Walking,2021-11-01 12:35:31,false,"Komorniki Chodzenie","2.00","135","00:39:43","96","113","60","179","19:49","9:55","13","7","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.32","3","0.0","00:30:38","00:39:43","117","129"
Walking,2021-10-31 11:36:21,false,"Komorniki Chodzenie","6.29","342","01:24:16","99","123","94","213","13:24","8:03","41","29","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:56.33","7","0.0","01:20:16","01:24:16","93","114"
Walking,2021-10-30 16:11:42,false,"Poznań Chodzenie","5.37","289","01:01:46","101","114","106","235","11:30","8:56","10","61","0.82","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:45.61","6","0.0","00:59:46","01:01:46","48","58"
Walking,2021-10-27 21:24:33,false,"Warszawa Chodzenie","4.60","253","00:56:47","101","120","109","241","12:21","7:07","33","10","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:30.29","5","0.0","00:52:32","00:56:47","78","86"
Running,2021-10-24 14:09:01,false,"Gdańsk Bieganie","5.02","291","00:27:04","167","188","168","181","5:24","4:35","32","29","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:06.77","6","0.0","00:27:03","00:27:04","6","38"
Running,2021-10-17 22:38:21,false,"Warszawa Bieganie","5.16","332","00:30:39","167","181","163","171","5:57","4:59","11","2","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:49.88","6","0.0","00:30:20","00:30:39","93","105"
Cycling,2021-10-17 12:32:40,false,"Warszawa Kolarstwo","17.46","399","01:22:54","114","167","--","--","12.6","24.7","48","42","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","16:38.61","4","0.0","01:06:09","01:38:52","82","120"
Cycling,2021-10-04 23:34:07,false,"Warszawa Kolarstwo","3.16","58","00:10:38","106","129","--","--","17.8","31.2","7","44","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","10:38.31","1","0.0","00:10:20","00:11:54","73","106"
Cycling,2021-10-04 18:06:43,false,"Warszawa Kolarstwo","3.49","84","00:14:10","113","144","--","--","14.8","25.7","34","5","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:10.41","1","0.0","00:13:36","00:23:30","85","116"
