Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2020-03-31 19:52:53,false,"Warszawa Spacerowanie","3.25","84","00:32:14","77","117","118","129","9:56","6:38","2","2","0.85","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:51.47","4","0.0","00:32:01","00:32:14","108","114"
Cycling,2020-03-28 15:45:09,false,"Pułtusk Kolarstwo","11.13","267","00:46:14","115","139","--","--","14.4","25.1","9","6","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:29.13","3","0.0","00:41:18","00:46:14","68","76"
Running,2020-03-24 19:53:28,false,"Warszawa Bieg","5.02","282","00:28:05","155","172","164","174","5:36","4:40","3","9","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:05.86","6","0.0","00:27:47","00:28:05","65","72"
Walking,2020-03-22 10:07:39,false,"Zawoja Spacerowanie","14.76","1,263","04:48:24","110","169","62","242","19:32","5:33","791","802","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:12.96","15","0.0","03:39:24","04:48:24","1,014","1,780"
Cycling,2020-03-21 13:47:50,false,"Goniądz Kolarstwo","15.88","479","01:42:37","111","145","--","--","9.3","26.1","73","78","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","19:12.73","4","0.0","01:00:23","01:42:37","108","133"
Cycling,2020-03-21 12:19:59,false,"Goniądz Kolarstwo","19.00","472","01:14:50","124","153","--","--","15.2","26.4","13","20","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","16:54.30","4","0.0","01:04:44","01:14:50","96","108"
Running,2020-03-19 18:37:16,false,"Warszawa Bieg","6.01","361","00:36:05","156","181","161","170","6:00","5:08","--","4","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.23","7","0.0","00:35:57","00:36:05","67","75"
Running,2020-03-17 18:35:35,false,"Warszawa Bieg","5.03","314","00:31:04","155","172","159","178","6:11","2:57","2","6","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:13.41","6","0.0","00:31:03","00:31:04","66","74"
Cycling,2020-03-14 16:23:53,false,"Warszawa Kolarstwo","23.61","555","01:15:03","132","157","--","--","18.9","31.1","58","70","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","12:37.30","5","0.0","01:12:39","01:15:03","60","90"
Running,2020-03-08 13:34:45,false,"Warszawa Bieg","5.02","324","00:30:21","164","181","165","173","6:03","5:11","16","13","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.42","6","0.0","00:30:17","00:30:21","93","110"
Walking,2020-02-13 00:43:06,false,"Rombo Spacerowanie","7.15","2,039","08:17:31","109","165","8","187","--","11:50","1,066","147","4.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","13:54.23","8","0.0","01:14:16","09:06:20","4,613","5,673"
Elliptical,2020-01-26 18:48:40,false,"Maszyna eliptyczna","0.00","546","01:16:34","130","158","102","191","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:00:00","01:17:39","--","--"
Running,2020-01-19 11:55:16,false,"Poznań Biegi","8.01","466","00:43:15","166","186","170","184","5:24","5:01","9","12","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.90","9","0.0","00:43:00","00:43:15","34","44"
Elliptical,2020-01-17 19:44:55,false,"Maszyna eliptyczna","0.00","599","01:06:09","150","170","76","138","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:00:00","01:06:09","--","--"
Running,2020-01-12 11:45:01,false,"Warszawa Biegi","10.02","587","00:58:03","162","187","167","178","5:47","4:57","30","28","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:06.85","11","0.0","00:57:51","00:58:03","83","104"
Walking,2020-01-11 20:56:36,false,"Warszawa Spacerowanie","1.57","73","00:16:39","99","114","112","245","10:38","1:35","--","2","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","06:21.08","2","0.0","00:16:12","00:16:39","109","111"
