Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Mountaineering,2020-11-08 10:02:42,false,"Spiringen Climb","9.14","1,368","05:20:48","95","155","2.2","29","190","1.7","7.1","974","946","0.99","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","No","05:20:48.32","1","0.0","--","--","--","02:47:22","05:20:48","2,056","3,007"
Cycling,2020-11-07 10:20:25,false,"Roveredo Cycling","43.60","1,810","03:52:01","129","175","--","--","--","11.3","52.3","1,986","1,990","0.00","0.0","0.0","66","240","0.0","0.0","0.0","12189","--","--","0:00","0.0","0:00","No","08:51.79","6","0.0","--","--","--","00:00:00","05:59:02","277","1,488"
Tennis,2020-11-04 19:18:25,false,"Squash","0.17","455","01:22:51","105","145","1.3","8","228","0.1","18.1","--","8","0.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:22:51.15","1","0.0","--","--","--","00:02:00","01:22:51","455","463"
Tennis,2020-11-02 11:45:16,false,"Squash","0.12","219","00:44:12","98","123","0.5","11","234","0.2","11.8","4","1","0.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","44:11.84","1","0.0","--","--","--","00:01:13","00:44:12","451","455"
Cycling,2020-10-31 12:50:39,false,"Cortaillod Cycling","57.57","655","03:22:05","82","142","--","--","--","17.1","54.5","1,419","1,420","0.00","0.0","0.0","70","115","0.0","0.0","0.0","11443","--","--","0:00","0.0","0:00","No","03:22.98","8","0.0","--","--","--","03:20:01","04:07:31","429","1,406"
Tennis,2020-10-26 11:38:07,false,"Squash","0.05","202","00:42:27","95","134","0.5","9","175","0.1","5.1","1","7","0.12","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","42:26.94","1","0.0","--","--","--","00:00:35","00:42:27","436","440"
Cycling,2020-10-24 14:37:38,false,"Lucerne Cycling","62.26","725","02:48:41","95","125","--","--","--","22.1","51.3","717","718","0.00","0.0","0.0","73","117","0.0","0.0","0.0","10204","--","--","0:00","0.0","0:00","No","17:23.33","8","0.0","--","--","--","02:47:25","03:10:33","423","802"
Tennis,2020-10-19 11:32:08,false,"Squash","0.05","241","00:47:30","105","144","1.4","--","--","0.1","3.7","3","1","0.42","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","47:30.00","1","0.0","--","--","--","00:01:15","00:47:30","394","397"
Resort Skiing/Snowboarding,2020-10-18 10:53:29,false,"Engelberg Resort Skiing/Snowboarding","20.64","407","01:20:33","99","126","0.8","--","--","15.4","49.2","--","6,100","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","No","01:15.00","17","0.0","--","--","--","01:17:04","05:16:35","986","3,058"
Running,2020-10-17 18:26:37,false,"Otelfingen Running","6.01","434","00:35:29","154","183","3.7","168","182","5:54","4:35","102","114","1.01","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","No","00:04.49","7","0.0","--","--","--","00:35:26","00:35:29","422","527"
Cycling,2020-10-11 10:25:58,false,"Bellagio Cycling","54.20","1,458","03:00:56","131","175","--","--","--","18.0","56.4","1,559","1,568","0.00","0.0","0.0","71","119","0.0","0.0","0.0","10915","--","--","0:00","0.0","0:00","No","15:10.54","7","0.0","--","--","--","03:00:19","03:29:25","198","1,126"
Cycling,2020-10-10 13:25:33,false,"Cannero Riviera Cycling","50.57","1,654","02:56:14","133","172","--","--","--","17.2","48.3","1,639","1,633","0.00","0.0","0.0","64","101","0.0","0.0","0.0","8942","--","--","0:00","0.0","0:00","No","06:11.01","7","0.0","--","--","--","02:54:48","03:32:46","198","1,323"
Cycling,2020-10-08 12:26:18,false,"Otelfingen Cycling","27.17","550","01:09:19","127","178","--","--","--","23.5","49.0","423","425","0.00","0.0","0.0","82","111","0.0","0.0","0.0","4864","--","--","0:00","0.0","0:00","No","01:11.58","5","0.0","--","--","--","01:09:13","01:10:07","362","653"
Mountaineering,2020-10-04 11:26:19,false,"Ronzo-Chienis Climb","7.29","720","01:55:41","116","160","2.8","100","242","3.8","8.7","583","612","0.63","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","No","01:55:41.12","1","0.0","--","--","--","01:45:17","01:55:41","925","1,528"
Cycling,2020-10-03 17:05:46,false,"Riva del Garda Cycling","28.03","710","01:51:46","128","186","3.2","--","--","15.0","42.6","416","426","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","11:37.28","6","0.0","--","--","--","01:36:25","01:51:46","-53","244"
Tennis,2020-09-22 21:51:58,false,"Squash","0.05","139","00:22:44","105","147","1.0","10","234","0.1","6.5","--","--","0.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","22:43.97","1","0.0","--","--","--","00:01:03","00:22:44","150","150"
Hiking,2020-09-13 11:47:14,false,"Koscielisko Hiking","15.92","989","03:35:24","102","153","2.1","73","242","13:32","3:29","255","259","1.01","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","03:35:24.42","1","0.0","--","--","--","02:56:12","03:35:26","901","1,139"
Mountaineering,2020-09-12 09:11:25,false,"Zakopane Climb","23.60","2,657","11:44:53","88","169","3.9","39","253","2.0","10.8","1,332","1,479","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","11:44:53.08","1","0.0","--","--","--","05:22:11","13:34:47","885","2,145"
Hiking,2020-09-11 08:58:33,false,"Zakopane Hiking","18.07","2,738","08:48:47","107","171","3.4","41","234","29:14","8:51","1,487","1,434","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","No","08:48:47.37","1","0.0","--","--","--","04:48:21","09:11:12","935","2,114"
Whitewater Kayaking/Rafting,2020-09-06 12:45:49,false,"Hvar Kayak","4.78","259","00:58:13","100","134","2.2","--","--","4.9","10.9","10","9","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","28.0","0:00","No","58:12.52","1","0.0","--","--","--","00:52:43","03:24:57","-345","-2"
Open Water Swimming,2020-09-05 13:24:44,false,"Hvar Open Water Swimming","281","55","00:10:31","--","--","--","--","--","3:45","1:01","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","232","77","21","0:00","25.0","0:00","No","10:31.40","1","0.0","--","--","--","00:08:00","00:10:31","--","--"
Tennis,2020-09-02 19:10:38,false,"Squash","0.13","513","01:20:25","114","156","2.1","8","243","0.1","10.5","11","22","0.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:20:24.96","1","0.0","--","--","--","00:03:17","01:20:25","1,527","1,536"
Tennis,2020-08-31 12:07:07,false,"Squash","0.13","214","00:40:48","102","135","0.7","12","210","0.2","13.6","3","1","0.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","40:48.12","1","0.0","--","--","--","00:01:29","00:40:48","1,535","1,538"
Pool Swimming,2020-08-30 16:58:27,false,"Pool Swimming","1,550","398","00:43:22","--","--","--","--","--","2:03","0:50","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","736","43","23","0:00","26.0","0:00","No","02:29.35","4","0.0","--","--","--","00:31:44","00:50:27","--","--"
Cycling,2020-08-23 15:19:03,false,"Flums Cycling","6.02","247","00:30:34","--","--","--","--","--","11.8","33.2","161","347","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","30:33.69","1","0.0","--","--","--","00:29:57","00:44:27","1,227","1,575"
Mountain Biking,2020-08-23 12:30:30,false,"Quarten Cycling","15.93","861","01:33:08","--","--","--","--","--","10.3","48.6","737","550","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","23:18.20","2","0.0","--","--","--","01:31:09","01:50:18","1,388","2,026"
Mountain Biking,2020-08-22 15:56:51,false,"Oberdorf Cycling","28.62","1,662","01:50:33","--","--","--","--","--","15.5","53.3","772","1,412","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:44.28","4","0.0","--","--","--","01:45:58","02:12:29","615","1,365"
Tennis,2020-08-20 19:00:59,false,"Squash","0.27","1","01:30:00","129","132","0.0","--","--","0.2","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","30.0","0:00","No","00:15.31","1","0.0","--","--","--","00:00:00","00:00:15.3","1,582","1,586"
Tennis,2020-08-17 12:01:46,false,"Squash","0.12","256","00:49:29","101","141","0.7","12","225","0.1","7.4","--","--","0.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","49:29.50","1","0.0","--","--","--","00:01:08","00:49:29","1,564","1,565"
Mountaineering,2020-08-15 13:17:47,false,"Innertkirchen Climb","7.55","1,687","06:30:53","98","150","2.0","17","179","1.2","16.6","698","706","1.12","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","06:30:52.74","1","0.0","--","--","--","01:41:38","07:47:43","2,005","2,690"
Mountaineering,2020-08-14 14:18:06,false,"Lugano Climb","5.97","1,092","04:00:59","98","163","2.8","33","169","1.5","24.7","465","474","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","04:00:59.36","1","0.0","--","--","--","01:23:26","04:43:32","451","898"
Mountaineering,2020-08-08 10:26:23,false,"Glarus Nord Climb","9.72","1,256","07:44:51","79","163","3.4","19","234","1.3","23.0","563","558","1.09","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","07:44:51.15","1","0.0","--","--","--","01:39:07","07:44:51","1,333","1,863"
Mountain Biking,2020-08-07 19:00:27,false,"Zurich Mountain Biking","7.79","428","01:17:23","120","163","2.6","--","--","6.0","32.5","305","396","0.00","0.0","0.0","57","155","0.0","0.0","0.0","2174","--","--","0:00","25.0","0:00","No","28:19.97","2","0.0","--","--","--","00:51:55","02:03:00","608","983"
Tennis,2020-08-03 19:15:32,false,"Squash","0.13","501","01:21:58","112","154","1.8","7","203","0.1","10.4","7","12","0.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","01:21:58.12","1","0.0","--","--","--","00:03:10","01:21:58","555","562"
Cycling,2020-08-02 11:35:35,false,"Küssnacht Cycling","82.15","1,803","03:28:16","128","178","--","--","--","23.7","64.0","1,559","1,562","0.00","0.0","0.0","73","221","0.0","0.0","0.0","13717","--","--","0:00","0.0","0:00","No","04:57.89","11","0.0","--","--","--","03:26:19","06:20:20","431","856"
Stand Up Paddleboarding,2020-08-01 12:09:45,false,"Zurich SUP","17.67","1,066","04:36:49","91","137","1.2","--","--","15:40","3:54","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","6804","--","--","0:00","25.0","0:00","No","10:31.09","18","0.0","--","--","--","03:43:29","05:58:15","--","--"
Mountaineering,2020-07-26 08:47:04,false,"Vals Climb","13.54","1,877","12:21:02","76","165","3.0","8","235","1.1","116.5","610","979","2.35","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:07.04","3","0.0","--","--","--","02:16:36","13:16:09","1,953","2,836"
Mountaineering,2020-07-25 15:25:47,false,"Vals Climb","0.77","311","00:54:48","109","154","2.0","18","158","0.8","4.2","162","1","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","54:48.35","1","0.0","--","--","--","00:17:19","00:54:48","2,420","2,594"
Mountaineering,2020-07-25 12:07:08,false,"Vals Climb","4.83","778","01:57:24","118","167","3.0","69","215","2.5","5.8","440","124","0.60","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","01:57:24.02","1","0.0","--","--","--","01:23:23","01:57:25","1,992","2,421"
Tennis,2020-07-22 20:01:10,false,"Squash","0.14","412","01:03:49","116","159","2.0","9","243","0.1","10.6","--","3","0.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:03:48.99","1","0.0","--","--","--","00:02:22","01:03:49","218","225"
Road Cycling,2020-07-21 18:55:55,false,"Wartostrada Malta","20.78","539","01:13:00","--","--","--","--","--","17.1","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:00:00","00:00:00","--","--"
Tennis,2020-07-13 19:30:38,false,"Squash","0.14","371","00:58:57","114","150","2.0","10","234","0.1","13.2","3","4","0.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","58:57.05","1","0.0","--","--","--","00:03:55","00:58:57","539","545"
Cycling,2020-07-11 15:14:15,false,"Porlezza Cycling","49.22","1,172","02:38:15","122","180","--","--","--","18.7","58.6","1,062","1,061","0.00","0.0","0.0","62","190","0.0","0.0","0.0","8530","--","--","0:00","0.0","0:00","No","03:12.86","7","0.0","--","--","--","02:36:32","04:35:16","203","743"
Mountaineering,2020-07-05 10:05:21,false,"Zermatt Climb","17.68","1,482","05:29:41","102","160","2.3","49","253","3.2","12.3","658","1,475","1.09","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","05:29:41.32","1","0.0","--","--","--","03:54:52","06:54:58","2,213","3,415"
Mountaineering,2020-07-04 11:39:39,false,"Zermatt Climb","5.88","901","02:47:06","111","160","2.4","--","--","2.1","5.9","468","472","1.12","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","02:47:06.00","1","0.0","--","--","--","01:51:53","02:47:06","3,759","4,121"
Tennis,2020-07-01 19:21:23,false,"Squash","0.18","320","01:27:30","101","157","1.1","--","--","0.1","11.5","22","19","0.45","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","01:27:29.100","1","0.0","--","--","--","00:01:57","01:27:30","504","513"
Cycling,2020-06-28 14:18:42,false,"Lugano Cycling","59.82","1,545","02:34:23","140","177","--","--","--","23.2","50.3","794","792","0.00","0.0","0.0","70","107","0.0","0.0","0.0","10139","--","--","0:00","0.0","0:00","No","10:58.57","8","0.0","--","--","--","02:33:37","02:41:18","269","380"
Mountaineering,2020-06-27 11:40:47,false,"Göschenen Climb","5.78","1,027","05:24:00","88","141","0.8","--","--","1.1","7.1","217","956","1.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","05:24:00.00","1","0.0","--","--","--","01:12:52","06:00:00","1,809","2,668"
Mountaineering,2020-06-27 09:35:39,false,"Göschenen Climb","2.14","597","00:55:29","142","159","3.4","90","158","2.3","7.1","502","2","0.43","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","55:29.11","1","0.0","--","--","--","00:43:23","01:25:44","1,910","2,416"
Tennis,2020-06-22 19:11:36,false,"Squash","0.16","570","02:09:45","113","162","2.4","6","240","0.1","14.2","9","9","0.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","02:09:44.99","1","0.0","--","--","--","00:02:00","02:09:45","390","401"
Cycling,2020-06-21 17:50:10,false,"Zurich Cycling","17.65","541","00:55:42","--","--","--","--","--","19.0","33.3","109","91","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:41.28","3","0.0","--","--","--","00:54:15","00:55:42","406","474"
Cycling,2020-06-21 11:19:22,false,"Glarus Cycling","48.59","1,182","03:21:59","114","159","--","--","--","14.4","49.1","1,504","1,519","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:35.82","7","0.0","--","--","--","03:01:06","03:33:16","456","1,563"
Stand Up Paddleboarding,2020-06-20 16:07:11,false,"Gambarogno SUP","6.62","495","01:50:19","98","152","1.2","--","--","16:39","10:40","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","2766","--","--","0:00","26.0","0:00","No","09:12.36","7","0.0","--","--","--","01:42:24","02:09:43","--","--"
Whitewater Kayaking/Rafting,2020-06-07 11:17:17,false,"Kepice Kayak","10.26","431","03:05:36","73","102","0.2","--","--","3.3","9.3","6","12","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","03:05:35.72","1","0.0","--","--","--","02:21:04","03:05:36","19","28"
Whitewater Kayaking/Rafting,2020-06-06 10:49:57,false,"Trzebielino Kayak","11.58","2,834","07:42:04","77","145","0.4","--","--","1.5","11.0","58","106","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","07:42:04.24","1","0.0","--","--","--","04:07:51","07:42:04","52","152"
Mountaineering,2020-06-01 12:00:16,false,"Engelberg Climb","6.59","1,090","03:18:20","112","163","2.9","41","190","2.0","9.8","15","1,552","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--","01:49:19","03:18:20","1,053","2,593"
Mountaineering,2020-06-01 09:33:17,false,"Engelberg Climb","2.22","691","01:55:17","110","174","3.4","49","179","1.2","7.3","350","358","0.39","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0","--","--","--","00:52:36","01:55:17","2,560","2,890"
Mountaineering,2020-05-31 13:09:16,false,"Engelberg Climb","7.31","2,111","05:41:34","117","160","3.0","33","190","1.3","22.9","1,517","22","0.65","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--","02:10:47","06:19:55","1,064","2,603"
Cycling,2020-05-30 20:15:37,false,"Otelfingen Cycling","36.35","309","01:46:18","78","115","--","--","--","20.5","46.2","548","544","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:40.44","5","0.0","--","--","--","01:44:11","01:46:18","363","656"
Mountaineering,2020-05-24 10:01:14,false,"Triesenberg Climb","15.65","2,768","09:26:56","101","180","3.9","34","234","1.7","54.9","929","1,495","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","00:00.00","1","0.0","--","--","--","04:11:26","09:26:56","898","2,094"
Hiking,2020-05-21 13:45:21,false,"Lauterbrunnen Hiking","9.93","1,018","03:11:54","108","156","2.6","67","160","19:20","4:51","422","613","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","19:53.74","2","0.0","--","--","--","02:29:40","03:11:56","1,622","2,138"
Hiking,2020-05-21 13:27:20,false,"Lauterbrunnen Hiking","0.58","94","00:15:51","101","142","1.1","51","160","27:11","11:14","57","--","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:00.00","1","0.0","--","--","--","00:07:46","00:15:51","1,753","1,803"
Tennis,2020-05-20 19:19:10,false,"Squash","0.13","454","01:08:50","115","160","1.8","8","246","0.1","17.5","3","5","0.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--","00:01:23","01:08:50","464","472"
Tennis,2020-05-18 11:59:05,false,"Squash","0.10","235","00:44:41","102","136","0.6","10","217","0.1","12.3","1","--","0.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--","00:01:53","00:44:41","456","456"
Cycling,2020-05-17 13:39:06,false,"Lucerne Cycling","46.08","1,061","01:53:27","136","159","--","--","--","24.4","55.3","554","556","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","16:29.23","6","0.0","--","--","--","01:53:00","01:57:57","431","601"
Cycling,2020-05-16 11:01:52,false,"Stein am Rhein Cycling","51.98","961","02:30:21","128","161","2.2","--","--","20.7","36.7","215","216","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","07:33.25","11","0.0","--","--","--","02:22:18","03:12:55","395","427"
Running,2020-05-10 19:45:50,false,"Otelfingen Running","5.80","425","00:34:02","155","181","3.7","161","190","5:52","3:45","84","86","1.06","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","04:55.45","6","0.0","--","--","--","00:33:59","00:34:02","463","527"
Mountain Biking,2020-05-09 17:16:39,false,"Zurich Mountain Biking","54.52","1,395","03:11:23","142","180","3.9","--","--","17.1","54.0","854","832","0.00","0.0","0.0","74","132","0.0","0.0","0.0","11926","--","--","0:00","20.0","0:00","No","10:51.50","11","0.0","--","--","--","03:05:43","03:17:22","418","849"
Hiking,2020-05-02 12:03:14,false,"Gordola Hiking","9.69","1,327","03:46:42","106","152","2.5","65","163","23:24","9:52","733","746","0.65","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--","02:40:46","05:20:03","1,088","1,786"
Mountain Biking,2020-04-26 15:27:44,false,"Otelfingen Mountain Biking","28.25","995","02:09:41","136","176","3.4","--","--","13.1","52.7","656","652","0.00","0.0","0.0","67","206","0.0","0.0","0.0","6990","--","--","0:00","20.0","0:00","No","10:45.95","6","0.0","--","--","--","02:01:46","02:09:41","356","782"
Backcountry Skiing/Snowboarding,2020-04-25 09:50:17,false,"Tujetsch Ski Touring ","5.22","935","03:03:45","101","149","1.8","8","203","1.7","25.7","481","489","3.39","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--","01:00:18","03:03:45","2,054","2,546"
Running,2020-04-17 19:00:08,false,"Otelfingen Running","6.09","459","00:34:45","156","172","3.9","167","194","5:42","3:25","116","116","1.05","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:30.16","7","0.0","--","--","--","00:34:43","00:34:45","437","543"
Cycling,2020-04-13 17:40:27,false,"Winterthur Cycling","32.00","967","01:39:08","146","170","3.4","--","--","19.4","48.9","427","430","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","03:04.33","8","0.0","--","--","--","01:36:58","01:39:08","388","631"
Cycling,2020-04-13 12:18:10,false,"Otelfingen Cycling","32.49","920","01:39:11","143","168","3.0","--","--","19.7","54.5","475","460","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","08:47.41","7","0.0","--","--","--","01:36:00","01:39:11","395","637"
Running,2020-04-05 16:59:58,false,"Kornik Running","8.01","541","00:42:35","151","165","4.0","173","180","5:19","4:54","36","32","1.09","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:03.26","9","0.0","--","--","--","00:42:27","00:42:35","59","72"
Running,2020-04-01 18:23:05,false,"Kornik Running","6.01","407","00:30:53","157","172","3.9","174","198","5:08","3:36","19","18","1.12","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","No","00:02.37","7","0.0","--","--","--","00:30:51","00:30:53","59","72"
Running,2020-03-28 17:19:17,false,"Kornik Running","6.01","376","00:30:16","148","161","3.5","173","192","5:02","4:02","12","13","1.15","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","No","00:03.96","7","0.0","--","--","--","00:30:14","00:30:16","60","70"
Running,2020-03-26 15:01:22,false,"Kornik Running","6.23","434","00:34:58","150","162","3.6","169","188","5:36","4:47","20","19","1.06","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","01:24.18","7","0.0","--","--","--","00:34:56","00:34:58","59","74"
Running,2020-03-21 15:04:12,false,"Kornik Running","5.79","406","00:31:11","155","170","3.8","170","182","5:23","4:37","20","18","1.10","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","No","04:22.29","6","0.0","--","--","--","00:31:10","00:31:11","60","72"
Running,2020-03-18 14:14:37,false,"Kornik Running","6.36","477","00:35:58","159","183","4.3","164","177","5:39","4:38","18","15","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","01:59.37","7","0.0","--","--","--","00:35:55","00:35:58","62","75"
Running,2020-03-17 12:49:37,false,"Kornik Running","5.41","399","00:31:02","155","171","3.8","161","190","5:44","4:07","9","7","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","02:30.95","6","0.0","--","--","--","00:30:58","00:31:02","60","67"
Tennis,2020-03-11 19:03:31,false,"Squash","0.12","259","01:03:26","89","142","0.7","8","234","0.1","11.6","2","12","0.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0","--","--","--","00:02:34","01:03:26","143","149"
Tennis,2020-03-02 19:20:34,false,"Squash","3.00","--","01:15:00","--","--","--","--","--","2.4","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:00:00","00:00:00","--","--"
Running,2020-03-01 16:02:04,false,"Otelfingen Running","8.02","669","00:52:33","156","167","4.3","163","178","6:33","5:00","191","188","0.94","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:06.33","9","0.0","--","--","--","00:52:26","00:52:33","426","561"
Running,2020-02-21 07:13:27,false,"Kusini Running","5.01","382","00:29:59","155","177","3.6","166","184","5:59","4:13","7","20","0.99","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","30.0","0:00","No","00:04.08","6","0.0","--","--","--","00:29:56","00:29:59","-20","-2"
Hiking,2020-02-14 09:32:52,false,"Rombo Hiking","11.18","1,292","05:00:39","98","141","0.5","50","179","26:53","3:33","8","1,738","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--","03:28:53","05:00:58","1,902","3,628"
Hiking,2020-02-13 14:46:25,false,"Rombo Hiking","4.63","400","01:32:26","94","123","0.7","50","155","19:58","7:36","22","832","1.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--","01:11:09","01:32:26","3,907","4,735"
Hiking,2020-02-13 06:29:37,false,"Rombo Hiking","5.12","399","03:04:52","71","105","0.1","20","210","36:09","4:08","--","1,215","1.40","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","No","00:00.00","1","0.0","--","--","--","01:32:29","03:04:52","4,679","5,893"
Hiking,2020-02-13 00:06:19,false,"Rombo Hiking","5.70","1,269","06:08:02","85","165","1.7","4","227","--","10:09","1,203","1","3.48","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","No","00:00.00","1","0.0","--","--","--","01:22:08","06:08:02","4,585","5,788"
