Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Resort Skiing/Snowboarding,2022-01-29 11:22:56,false,"Grindelwald Resort Snowboarding","28.59","424","01:08:45","117","146","0.8","--","--","24.9","52.8","--","5,956","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","01:05.00","12","0.0","--","--","--","01:07:54","05:02:42","1,152","2,473"
Resort Skiing/Snowboarding,2022-01-28 11:27:30,false,"Grindelwald Resort Snowboarding","35.74","470","01:34:56","108","135","0.5","--","--","22.6","50.6","--","8,730","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","02:36.00","15","0.0","--","--","--","01:30:01","04:26:40","-459","2,367"
Resort Skiing/Snowboarding,2022-01-27 11:33:12,false,"Lenzerheide Resort Snowboarding","36.71","644","01:27:14","127","161","2.3","--","--","25.2","58.6","--","8,555","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","01:48.00","15","0.0","--","--","--","01:25:33","04:29:38","89","1,462"
Cardio,2022-01-25 19:43:07,false,"Squash","0.00","432","00:43:59","147","176","3.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","43:59.08","1","0.0","--","--","--","00:00:00","00:43:59","422","422"
Cardio,2022-01-25 19:11:15,false,"Squash","0.00","381","00:31:44","157","175","3.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","31:44.37","1","0.0","--","--","--","00:00:00","00:31:44","422","426"
Resort Skiing/Snowboarding,2022-01-23 10:07:00,false,"Andermatt Resort Snowboarding","34.79","695","01:39:30","125","159","1.6","--","--","21.0","51.5","--","7,510","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","01:38.00","18","0.0","--","--","--","01:33:34","06:14:57","-392","829"
Running,2022-01-22 14:43:55,false,"Otelfingen Running","7.01","511","00:40:17","160","177","3.8","170","195","5:45","3:17","129","129","1.03","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:01.59","8","0.0","--","--","--","00:40:13","00:40:17","441","513"
Cardio,2022-01-18 19:11:31,false,"Squash","0.00","720","01:12:24","151","186","3.7","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:12:23.85","1","0.0","--","--","--","00:00:00","01:12:24","427","431"
Resort Skiing/Snowboarding,2022-01-16 10:12:32,false,"Hoch Ybrig Resort Snowboarding","26.80","433","01:15:01","119","157","1.4","--","--","21.4","48.2","--","5,873","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","No","02:54.00","15","0.0","--","--","--","01:13:52","06:13:35","1,013","1,833"
Hiking,2022-01-03 13:52:36,false,"Aqaba Hiking","9.82","574","02:14:07","103","129","0.8","92","160","13:39","10:31","61","151","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","02:14:06.71","1","0.0","--","--","--","01:58:19","02:21:07","1,465","1,592"
Mountaineering,2022-01-03 06:39:07,false,"Aqaba Climb","8.84","1,988","07:12:27","110","149","1.7","18","195","1.2","9.0","606","613","1.15","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","07:12:26.66","1","0.0","--","--","--","01:18:09","07:12:27","1,560","1,863"
Hiking,2022-01-01 16:56:47,false,"Aqaba Hiking","3.01","203","01:07:05","87","109","0.2","59","160","22:19","11:50","571","10","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","01:07:05.49","1","0.0","--","--","--","00:42:12","01:07:07","984","1,550"
Cardio,2021-12-29 19:03:27,false,"Squash","0.00","559","01:01:44","146","181","3.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","01:01:44.18","1","0.0","--","--","--","00:00:00","01:01:44","86","86"
Cardio,2021-12-13 19:10:58,false,"Squash","0.00","679","01:28:02","134","172","3.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:28:02.05","1","0.0","--","--","--","00:00:00","01:28:02","425","426"
Backcountry Skiing/Snowboarding,2021-12-11 10:31:16,false,"Schwyz Backcountry Skiing","10.57","1,490","03:20:51","140","167","3.7","--","--","3.2","23.7","1,004","1,016","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","No","59:24.83","2","0.0","--","--","--","02:33:01","03:46:28","530","1,549"
Cardio,2021-12-09 19:07:45,false,"Squash","0.00","541","01:37:36","132","177","3.1","--","--","--","--","4","4","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:37:36.00","1","0.0","--","--","--","00:00:00","01:37:36","427","431"
Pool Swimming,2021-12-08 19:09:28,false,"Pool Swimming","2,100","626","00:42:40","138","175","2.5","--","--","2:01","1:26","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","1020","42","24","0:00","0.0","0:00","No","00:00.67","15","0.0","--","--","--","00:42:25","00:58:08","--","--"
Cardio,2021-11-30 19:10:23,false,"Squash","0.00","651","01:35:25","126","167","2.5","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","01:35:25.45","1","0.0","--","--","--","00:00:00","01:35:25","432","434"
Cardio,2021-11-29 11:34:22,false,"Squash","0.00","436","00:48:10","140","171","2.6","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","48:10.13","1","0.0","--","--","--","00:00:00","00:48:10","407","421"
Pool Swimming,2021-11-28 16:15:57,false,"Pool Swimming","750","160","00:14:44","141","182","2.4","--","--","1:57","1:23","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","388","42","27","0:00","0.0","0:00","No","00:05.26","11","0.0","--","--","--","00:14:38","00:24:50","--","--"
Cardio,2021-11-22 10:34:59,false,"Squash","0.00","444","00:49:57","142","167","2.9","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","49:56.76","1","0.0","--","--","--","00:00:00","00:49:57","416","429"
Cardio,2021-11-08 11:35:24,false,"Squash","0.00","458","00:52:27","140","168","2.7","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","52:26.75","1","0.0","--","--","--","00:00:00","00:52:29","467","482"
Cardio,2021-11-01 19:04:09,false,"Squash","0.00","869","01:29:20","149","179","3.6","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:29:20.22","1","0.0","--","--","--","00:00:00","01:29:20","464","464"
Mountain Biking,2021-10-29 09:08:13,false,"Finale Ligure Mountain Biking","40.88","1,477","03:06:57","147","170","3.6","--","--","13.1","37.9","813","858","0.00","0.0","0.0","--","--","0.0","97.9","2.2","--","--","--","0:00","10.0","0:00","No","03:06:57.34","1","0.0","29","15","37","03:06:11","03:39:10","12","812"
Cardio,2021-10-25 11:47:32,false,"Squash","0.00","373","00:47:28","134","156","2.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","47:27.70","1","0.0","--","--","--","00:00:00","00:47:28","346","346"
Mountain Biking,2021-10-24 14:17:23,false,"Otelfingen Mountain Biking","25.17","870","02:00:52","140","178","3.6","--","--","12.5","44.1","706","682","0.00","0.0","0.0","70","164","0.0","82.8","2.2","6580","--","--","0:00","8.0","0:00","No","02:00:52.19","1","0.0","27","15","38","01:59:57","02:21:53","424","862"
Cardio,2021-10-18 11:32:30,false,"Squash","0.00","373","00:46:23","134","166","2.3","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","46:22.99","1","0.0","--","--","--","00:00:00","00:46:23","332","332"
Cardio,2021-10-16 19:02:38,false,"Squash","0.00","584","00:59:34","148","173","3.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","59:33.53","1","0.0","--","--","--","00:00:00","00:59:34","16","16"
Hiking,2021-10-10 18:01:37,false,"Primorsko Hiking","1.77","151","00:21:28","125","162","1.6","104","122","12:07","9:39","78","6","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","21:27.83","1","0.0","--","--","--","00:20:46","00:21:28","-219","-140"
Walking,2021-10-07 22:03:04,false,"Nesebar Walking","5.28","330","01:06:13","91","108","0.5","86","135","12:33","8:51","23","29","0.94","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","03:17.37","6","0.0","--","--","--","01:02:16","01:06:13","-197","-177"
Cycling,2021-10-04 23:34:29,false,"Warsaw Cycling","3.16","106","00:12:11","127","153","1.4","--","--","15.6","31.7","4","45","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","12:11.08","1","0.0","--","--","--","00:10:38","00:12:11","21","66"
Cycling,2021-10-04 18:06:44,false,"Warsaw Cycling","3.63","189","00:23:36","124","152","1.8","--","--","9.2","26.3","42","29","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","23:35.94","1","0.0","--","--","--","00:15:12","00:23:36","46","72"
