Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2021-12-18 11:02:06,false,"Gdańsk Bieganie","11.01","856","01:08:24","157","180","4.0","165","169","6:13","5:01","136","121","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:03.98","12","0.0","01:08:12","01:08:24","92","163"
Bieganie,2021-12-16 20:09:38,false,"Gdańsk Bieganie","6.23","486","00:34:03","162","178","4.2","166","169","5:28","4:13","31","32","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","01:19.53","7","0.0","00:34:02","00:34:03","144","154"
Bieganie,2021-12-12 09:01:22,false,"Gdańsk Bieganie","10.51","806","01:03:38","156","181","4.1","168","172","6:03","5:11","129","120","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","02:51.69","11","0.0","01:03:20","01:03:47","88","155"
Bieganie,2021-12-09 20:19:21,false,"Gdańsk Bieganie","6.31","483","00:36:33","155","174","3.8","162","167","5:48","5:12","27","25","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","01:58.40","7","0.0","00:36:15","00:36:33","145","154"
Bieganie,2021-12-05 12:04:21,false,"Gdańsk Bieganie","10.01","766","00:56:43","162","177","4.5","165","172","5:40","4:51","12","18","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:02.96","11","0.0","00:56:41","00:56:43","-7","4"
Chodzenie,2021-12-04 10:08:55,false,"Gdańsk Chodzenie","5.14","429","01:35:21","95","133","0.5","59","165","18:32","1:34","28","19","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","00:15.40","7","0.0","00:58:44","01:56:44","145","159"
Bieganie,2021-12-02 18:02:19,false,"Gdańsk Bieganie","5.15","395","00:29:37","157","172","3.5","165","238","5:45","5:04","33","38","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","00:54.16","6","0.0","00:29:36","00:29:37","136","152"
Bieganie,2021-11-28 12:00:00,false,"Gdańsk Bieganie","11.05","850","01:02:30","161","178","4.7","165","169","5:39","4:39","5","9","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","00:18.88","12","0.0","01:02:25","01:02:30","--","4"
Bieganie,2021-11-27 15:19:24,false,"Gdańsk Bieganie","5.01","348","00:26:13","155","183","3.6","165","173","5:14","4:32","20","24","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:01.88","6","0.0","00:26:07","00:26:13","141","153"
Chodzenie,2021-11-26 11:17:07,false,"Gdańsk Chodzenie","5.40","366","00:51:00","96","118","1.0","116","176","9:26","0:53","25","27","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:22.46","8","0.0","00:50:16","00:55:12","142","156"
Bieganie,2021-11-25 11:35:00,false,"Gdańsk Bieganie","5.40","400","00:30:33","156","170","3.5","166","171","5:39","4:44","30","24","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","02:03.78","6","0.0","00:30:26","00:30:33","143","156"
Bieganie,2021-11-20 10:50:06,false,"Gdańsk Bieganie","11.01","954","01:06:27","169","179","5.0","166","171","6:02","4:34","126","120","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","00:00.97","13","0.0","01:06:21","01:06:27","91","162"
Bieganie,2021-11-17 18:32:19,false,"Gdańsk Bieganie","8.10","628","00:46:05","156","175","4.5","164","169","5:41","4:38","27","27","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","00:39.89","9","0.0","00:46:01","00:46:05","145","156"
Bieganie,2021-11-14 11:22:29,false,"Gdańsk Bieganie","5.39","401","00:31:43","150","172","3.5","164","169","5:53","4:59","26","28","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","02:10.50","6","0.0","00:31:38","00:31:43","143","153"
