Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Chodzenie,2021-03-21 10:38:57,false,"Gdańsk Spacerowanie","5.67","368","01:05:27","101","115","0.5","114","127","11:32","7:38","26","36","0.76","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","07:14.97","6","0.0","01:05:08","01:05:27","136","153"
Bieganie,2021-03-17 19:52:44,false,"Gdańsk Bieg","5.01","352","00:26:51","152","166","3.5","168","171","5:21","4:21","24","24","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","5.0","0:00","Nie","00:04.23","6","0.0","00:26:49","00:26:51","145","156"
Chodzenie,2021-03-16 15:18:03,false,"Gdańsk Spacerowanie","5.17","310","00:47:57","99","130","1.1","120","150","9:16","6:54","22","27","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","01:37.22","6","0.0","00:47:23","00:47:57","141","153"
Chodzenie,2021-03-14 16:22:47,false,"Gdańsk Spacerowanie","5.20","334","01:02:40","91","105","0.4","111","137","12:03","4:58","16","25","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","00:01.27","7","0.0","01:02:27","01:02:40","139","153"
Bieganie,2021-03-07 19:39:17,false,"Gdańsk Bieg","5.02","359","00:28:22","149","168","3.4","166","175","5:39","4:29","18","21","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:05.05","6","0.0","00:28:16","00:28:34","16","28"
Bieganie,2021-02-28 19:13:38,false,"Gdańsk Bieg","13.39","1,053","01:16:21","166","178","5.0","169","176","5:42","3:56","30","43","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","02:22.74","14","0.0","01:16:08","01:17:02","-3","26"
Bieganie,2021-02-27 18:30:57,false,"Gdańsk Bieg","10.25","772","00:56:29","159","170","4.7","168","176","5:31","4:44","29","31","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:21.87","11","0.0","00:56:26","00:56:29","145","158"
Bieganie,2021-02-24 18:36:59,false,"Gdańsk Bieg","10.02","713","00:55:08","154","164","4.1","166","171","5:30","4:41","10","12","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:03.83","11","0.0","00:55:02","00:55:08","1","7"
Bieganie,2021-02-13 13:30:26,false,"Gdańsk Bieg","11.09","846","01:07:24","156","171","3.7","166","171","6:05","4:50","123","124","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:30.08","12","0.0","01:07:15","01:07:24","89","151"
Bieganie,2021-02-06 13:21:10,false,"Gdańsk Bieg","10.01","715","00:54:27","156","167","4.0","170","174","5:26","4:48","10","9","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","5.0","0:00","Nie","00:02.40","11","0.0","00:54:20","00:54:27","2","9"
Bieganie,2021-02-04 19:49:51,false,"Gdańsk - bieg po płaskim","14.01","1,040","01:17:32","162","177","5.0","168","171","5:32","4:52","8","11","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","6.0","0:00","Nie","00:03.54","15","0.0","01:17:26","01:17:32","3","8"
Bieganie,2021-02-02 18:04:57,false,"Gdańsk - bieg po płaskim","12.01","867","01:06:33","158","180","4.2","166","171","5:32","4:59","10","15","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:03.99","13","0.0","01:06:28","01:06:33","3","9"
Bieganie,2021-01-29 17:51:16,false,"Gdańsk - Trening biegowy","14.02","997","01:14:19","160","177","4.6","168","175","5:18","4:19","10","10","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","5.0","0:00","Nie","00:04.34","15","0.0","01:14:13","01:14:19","3","8"
Bieganie,2021-01-24 10:53:53,false,"Gdańsk Bieg po lodzie","11.24","832","01:07:11","153","174","3.7","167","178","5:58","4:47","122","122","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:27.78","12","0.0","01:07:01","01:07:11","89","155"
Bieganie,2021-01-20 18:05:55,false,"Gdańsk - bieg po płaskim","12.01","917","01:04:44","166","184","5.0","166","176","5:23","4:29","8","11","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:04.16","13","0.0","01:04:38","01:04:44","2","9"
Chodzenie,2021-01-17 15:18:30,false,"Gdańsk Spacerowanie","4.87","421","01:37:37","93","133","0.4","61","143","20:02","8:07","30","40","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","12:08.03","5","0.0","01:04:30","01:37:37","129","150"
Chodzenie,2021-01-17 15:14:36,false,"Gdańsk Spacerowanie","0.00","--","00:00:05.0","104","106","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","28.0","0:00","Nie","00:01.32","2","0.0","00:00:00","00:00:05.0","150","150"
Bieganie,2021-01-17 12:03:45,false,"Gdańsk Bieg","15.42","1,326","01:33:36","168","185","5.0","167","174","6:04","4:46","149","142","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:02.05","17","0.0","01:33:33","01:33:36","56","160"
Chodzenie,2021-01-16 12:23:01,false,"Gdańsk Spacerowanie","3.43","358","01:16:10","93","136","0.3","43","226","22:12","5:52","26","25","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","09:40.90","4","0.0","00:42:10","06:12:14","137","152"
Bieganie,2021-01-13 17:11:21,false,"Gdańsk - bieg po płaskim","10.01","725","00:52:59","162","179","4.6","167","173","5:18","4:40","10","9","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:03.73","11","0.0","00:52:55","00:52:59","--","7"
Bieganie,2021-01-10 13:43:30,false,"Gdańsk Bieg","14.55","1,105","01:25:33","159","172","4.2","165","169","5:53","4:41","66","64","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","6.0","0:00","Nie","03:15.07","15","0.0","01:25:28","01:25:33","135","152"
Bieganie,2021-01-09 09:01:09,false,"Gdańsk - bieg z podbiegam","9.00","669","00:56:52","152","179","3.6","148","237","6:19","3:49","69","73","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","00:01.11","29","0.0","00:56:25","00:56:52","108","152"
Bieganie,2021-01-07 17:24:41,false,"Gdańsk - Trening biegowy","10.02","739","00:53:07","159","181","4.6","165","171","5:18","4:19","8","9","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:06.67","11","0.0","00:53:02","00:53:07","1","4"
Bieganie,2021-01-06 12:11:39,false,"Gdańsk - Trening biegowy","5.01","346","00:28:23","145","168","3.2","164","171","5:40","4:57","17","16","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:02.21","6","0.0","00:28:18","00:28:23","142","152"
Bieganie,2021-01-02 13:29:00,false,"Gdańsk Bieg","21.22","1,565","02:04:18","159","181","4.5","167","173","5:51","4:50","164","173","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","6.0","0:00","Nie","01:16.12","22","0.0","02:04:05","02:04:18","85","160"
Chodzenie,2021-01-01 12:07:07,false,"Żukowo Spacerowanie","4.05","268","00:45:39","81","123","0.5","107","162","11:17","6:52","19","16","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","00:30.81","5","0.0","00:44:01","00:45:39","129","144"
Chodzenie,2020-12-31 09:53:22,false,"Gdańsk Spacerowanie","0.74","52","00:06:54.6","92","99","0.4","111","139","9:20","2:22","6","1","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","06:54.60","1","0.0","00:06:43","00:10:27","137","145"
Bieganie,2020-12-30 14:19:13,false,"Gdańsk Bieg","12.01","909","01:08:53","158","180","4.6","164","169","5:44","4:35","128","128","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:01.76","13","0.0","01:08:45","01:08:53","86","156"
Bieganie,2020-12-27 11:40:43,false,"Gdańsk Bieg","11.38","902","01:05:01","164","186","5.0","165","171","5:43","4:44","126","124","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","02:05.66","12","0.0","01:04:52","01:05:01","84","155"
Bieganie,2020-12-26 14:20:57,false,"Gdańsk Bieg","5.06","363","00:27:00","155","174","3.6","164","170","5:20","4:44","16","17","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:18.40","6","0.0","00:26:58","00:27:00","142","150"
Bieganie,2020-12-23 13:45:33,false,"Gdańsk Bieg","11.37","871","01:04:29","160","186","5.0","164","169","5:40","4:41","121","125","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","02:00.95","12","0.0","01:04:20","01:04:29","85","154"
Bieganie,2020-12-20 11:46:18,false,"Gdańsk Bieg","9.08","668","00:51:28","158","179","4.4","161","167","5:40","4:21","109","108","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:01.27","11","0.0","00:51:20","00:51:28","61","158"
Bieganie,2020-12-06 12:28:11,false,"Gdańsk Bieg","5.07","398","00:27:36","164","182","3.7","164","169","5:27","4:37","46","43","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","00:18.06","6","0.0","00:27:31","00:27:36","50","105"
Bieganie,2020-12-01 19:02:42,false,"Gdańsk Bieg","5.01","333","00:25:10","151","166","3.2","165","171","5:01","4:32","21","21","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","4.0","0:00","Nie","00:01.92","6","0.0","00:25:08","00:25:10","142","151"
Jazda górska,2020-11-29 11:23:09,false,"Gdańsk Jazda górska","40.09","1,240","02:12:06","132","173","3.3","--","--","18.2","36.8","238","241","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","6.0","0:00","Nie","00:31.88","9","0.0","02:11:02","02:57:10","-2","160"
Bieganie,2020-11-28 10:47:54,false,"Gdańsk Bieg","11.24","869","01:04:29","158","177","4.5","164","169","5:44","4:43","121","120","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:16.71","12","0.0","01:04:19","01:04:29","87","155"
Bieganie,2020-11-25 10:27:49,false,"Gdańsk Bieg","5.58","413","00:31:02","159","184","3.4","164","171","5:34","4:50","25","25","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","03:04.52","6","0.0","00:30:56","00:31:02","139","149"
Bieganie,2020-11-22 14:38:04,false,"Gdańsk Bieg","5.58","352","00:28:37","144","162","3.1","165","173","5:08","4:29","26","31","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","02:53.93","6","0.0","00:28:34","00:28:37","137","148"
Bieganie,2020-11-21 12:52:31,false,"Gdańsk Bieg","5.34","389","00:30:18","150","165","3.2","164","169","5:40","4:51","32","28","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","01:42.53","6","0.0","00:30:14","00:30:18","139","152"
Chodzenie,2020-11-20 15:26:00,false,"Gdańsk Spacerowanie","5.60","375","00:50:28","104","146","1.3","126","237","9:01","3:33","21","25","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","05:43.55","6","0.0","00:50:11","00:50:28","131","142"
Bieganie,2020-11-19 14:54:25,false,"Gdańsk Bieg","5.53","423","00:30:00","163","180","3.7","165","169","5:25","4:40","27","33","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","02:44.69","6","0.0","00:29:53","00:30:00","135","148"
Bieganie,2020-11-14 09:42:47,false,"Gdańsk Bieg","5.52","374","00:30:22","146","170","3.1","165","171","5:30","4:26","24","25","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","02:41.47","6","0.0","00:30:15","00:30:22","138","149"
Bieganie,2020-11-11 10:41:14,false,"Gdańsk Bieg","11.39","870","01:01:31","167","186","4.7","166","171","5:24","4:41","66","63","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","02:04.74","12","0.0","01:01:27","01:01:31","139","162"
Bieganie,2020-11-08 10:36:08,false,"Gdańsk Bieg","8.39","628","00:46:54","159","181","4.2","164","171","5:35","4:09","98","103","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","02:04.18","9","0.0","00:46:46","00:46:54","61","164"
Bieganie,2020-11-07 12:33:31,false,"Gdańsk Bieg","5.56","381","00:30:04","148","167","3.2","164","169","5:24","4:35","23","24","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","02:51.21","6","0.0","00:29:58","00:30:04","138","149"
Bieganie,2020-11-03 15:40:26,false,"Gdańsk Bieg","5.50","399","00:29:51","157","177","3.5","165","171","5:26","4:44","22","25","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","02:35.06","6","0.0","00:29:44","00:29:51","138","148"
Bieganie,2020-10-31 09:46:46,false,"Gdańsk Bieg","15.04","1,204","01:28:37","163","182","5.0","167","171","5:54","4:33","167","173","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","00:11.88","16","0.0","01:28:27","01:28:37","85","147"
Bieganie,2020-10-29 07:24:50,false,"Gdańsk Bieg","11.28","891","01:08:20","158","175","4.2","165","174","6:03","4:47","119","121","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","01:25.30","12","0.0","01:08:07","01:08:21","87","153"
Bieganie,2020-10-25 10:57:48,false,"Gdańsk Bieg","8.31","572","00:47:54","163","186","4.7","164","173","5:46","4:24","95","95","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","01:37.42","9","0.0","00:47:46","00:47:54","65","162"
Bieganie,2020-10-24 12:51:16,false,"Gdańsk Bieg","5.54","329","00:31:02","146","159","3.2","164","169","5:36","4:59","23","26","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","02:50.40","6","0.0","00:30:54","00:31:02","138","150"
Bieganie,2020-10-22 15:31:58,false,"Gdańsk Bieg","11.40","899","01:06:59","163","185","4.9","163","167","5:53","4:38","117","121","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","02:17.87","12","0.0","01:06:47","01:06:59","85","149"
Bieganie,2020-10-19 17:03:25,false,"Gdańsk Bieg","5.57","336","00:30:58","153","169","3.5","163","169","5:34","4:19","22","27","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:01.60","8","0.0","00:30:42","00:30:58","137","147"
Bieganie,2020-10-17 13:26:58,false,"Gdańsk Bieg","10.13","628","00:56:56","156","177","4.4","164","169","5:37","4:33","99","95","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","00:36.87","11","0.0","00:56:49","00:56:56","52","159"
Bieganie,2020-10-16 16:06:24,false,"Gdańsk Bieg","5.53","334","00:30:38","155","177","3.7","163","171","5:32","4:51","21","23","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","02:45.65","6","0.0","00:30:30","00:30:38","137","148"
Bieganie,2020-10-11 15:04:33,false,"Gdańsk Bieg","5.61","319","00:30:43","150","171","3.5","164","169","5:28","4:19","23","24","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","03:15.10","6","0.0","00:30:37","00:30:43","139","150"
Bieganie,2020-10-10 10:34:44,false,"Gdańsk Bieg","5.54","308","00:31:23","143","157","3.3","164","169","5:40","4:47","22","26","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","02:48.63","6","0.0","00:31:15","00:31:23","137","148"
Bieganie,2020-10-04 10:43:20,false,"Gdańsk Bieg","5.51","411","00:30:47","162","182","4.2","165","169","5:35","4:45","20","26","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","02:41.10","6","0.0","00:30:40","00:30:47","138","148"
Bieganie,2020-10-03 10:42:37,false,"Gdańsk Bieg","10.01","724","00:56:34","161","182","5.0","165","173","5:39","3:58","96","91","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","00:02.53","11","0.0","00:56:32","00:56:34","53","155"
Bieganie,2020-10-01 16:42:58,false,"Gdańsk Bieg","5.55","402","00:31:00","158","176","4.3","162","167","5:35","4:54","22","24","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","02:50.04","6","0.0","00:30:54","00:31:00","139","148"
Bieganie,2020-09-27 13:41:19,false,"Gdańsk Bieg","5.01","349","00:27:50","152","165","3.8","162","169","5:33","4:59","19","23","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","00:04.68","6","0.0","00:27:49","00:27:52","139","151"
Chodzenie,2020-09-20 16:43:58,false,"Gdańsk Spacerowanie","5.28","316","01:00:38","106","137","0.5","97","130","11:29","8:12","16","15","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","03:16.60","6","0.0","01:00:13","01:05:16","104","141"
Bieganie,2020-09-20 09:56:55,false,"Gdańsk Bieg","5.55","415","00:31:38","162","180","4.4","164","169","5:42","4:35","25","26","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","02:58.42","6","0.0","00:31:31","00:31:38","139","149"
Bieganie,2020-09-11 16:55:26,false,"Gdańsk Bieg","5.54","393","00:31:01","160","171","4.1","163","167","5:36","4:42","23","24","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","02:43.98","6","0.0","00:30:52","00:31:01","139","150"
Pływanie długodystansowe,2020-09-06 15:21:42,false,"Hvar Pływanie długodystansowe","1,444","318","01:08:05","--","--","--","--","--","4:42","0:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","30.0","0:00","Nie","19:37.07","3","0.0","01:03:38","01:08:07","--","--"
Pływanie długodystansowe,2020-09-05 12:48:14,false,"Hvar Pływanie długodystansowe","629","123","00:31:21","--","--","--","--","--","4:59","2:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","75","--","0:00","25.0","0:00","Nie","05:01.29","2","0.0","00:24:47","00:31:21","--","--"
Pływanie długodystansowe,2020-09-04 13:59:19,false,"Hvar Pływanie długodystansowe","41","9","00:13:49","--","--","--","--","--","33:20","0:30","--","--","0.00","0.0","0.0","0.0","0.0","0.0","410","754","29","0:00","24.0","0:00","Nie","13:49.47","1","0.0","00:11:10","00:19:08","--","--"
Jazda górska,2020-08-30 12:29:03,false,"Gdańsk Jazda górska","42.40","1,185","02:19:32","138","178","3.5","--","--","18.2","39.0","393","390","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","08:11.97","9","0.0","02:19:19","02:38:08","53","154"
Kolarstwo,2020-08-28 18:57:58,false,"Gdańsk Kolarstwo","3.13","95","00:09:31.2","132","149","2.0","--","--","19.7","30.6","12","16","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","09:31.25","1","0.0","00:09:16","00:18:03","147","158"
Kolarstwo,2020-08-28 12:54:34,false,"Gdańsk Kolarstwo","16.76","446","00:53:55","129","163","2.4","--","--","18.6","36.1","87","87","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","05:10.97","4","0.0","00:53:46","01:00:34","129","160"
Kolarstwo,2020-08-23 10:05:58,false,"Gdańsk Kolarstwo","27.94","776","01:26:34","139","176","3.4","--","--","19.4","32.4","158","159","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","Nie","08:55.97","6","0.0","01:26:11","01:41:22","121","151"
Jazda górska,2020-08-20 17:44:27,false,"Gdańsk Jazda górska","34.32","915","01:45:38","137","176","3.3","--","--","19.5","42.3","248","251","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","13:49.83","7","0.0","01:45:08","02:05:55","126","203"
Jazda górska,2020-08-18 18:04:23,false,"Gdańsk Jazda górska","27.94","766","01:30:34","129","167","2.6","--","--","18.5","42.9","214","224","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","08:47.91","6","0.0","01:29:59","02:08:27","7","159"
Pływanie długodystansowe,2020-08-16 16:22:50,false,"Tremosine sul Garda Pływanie długodystansowe","3","--","00:02:01.7","--","--","--","--","--","1:04:06","3:40","--","--","0.00","0.0","0.0","0.0","0.0","0.0","60","--","29","0:00","24.0","0:00","Nie","02:01.71","1","0.0","00:00:00","00:02:01.7","--","--"
Pływanie długodystansowe,2020-08-15 15:13:48,false,"Ledro Pływanie relaksacyjne","106","26","00:02:37.5","--","--","--","--","--","2:29","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","78","56","29","0:00","23.0","0:00","Nie","02:37.51","1","0.0","00:02:37.5","00:02:37.5","--","--"
Kolarstwo,2020-08-14 15:43:57,false,"Nago-Torbole Nawiguj","27.63","1,128","01:58:45","144","189","5.0","--","--","14.0","45.6","547","552","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","Nie","01:58:44.77","1","0.0","01:57:57","02:45:12","66","603"
Kolarstwo,2020-08-08 18:11:50,false,"Dziemiany Kolarstwo","16.76","421","01:19:39","103","149","0.9","--","--","12.6","28.1","110","104","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","Nie","12:43.24","4","0.0","01:15:43","01:31:40","143","178"
Kolarstwo,2020-08-02 13:06:09,false,"Dziemiany Kolarstwo","13.15","330","00:58:36","108","143","1.0","--","--","13.5","37.4","138","123","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","Nie","13:58.13","3","0.0","00:58:02","01:12:32","156","192"
Kolarstwo,2020-08-01 11:14:40,false,"Dziemiany Kolarstwo","40.12","1,110","02:55:28","94","139","0.6","--","--","13.7","43.9","317","311","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","Nie","01:02.88","9","0.0","02:52:08","06:05:18","149","195"
Bieganie,2020-07-29 17:59:03,false,"Gdańsk Bieg","5.37","376","00:30:20","157","177","3.4","163","169","5:39","4:39","24","26","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","01:49.16","6","0.0","00:30:14","00:30:20","139","148"
Kolarstwo,2020-07-25 11:38:45,false,"Gdańsk Kolarstwo","73.72","1,891","04:02:10","105","162","1.6","--","--","18.3","39.9","319","309","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","12:25.08","15","0.0","00:00:00","06:34:32","-20","151"
Kolarstwo,2020-07-24 15:07:28,false,"Gdańsk Kolarstwo","30.21","813","01:37:22","98","125","0.5","--","--","18.6","40.6","225","212","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:41.97","7","0.0","01:35:36","03:04:05","-9","153"
Bieganie,2020-07-22 19:32:13,false,"Gdańsk Bieg","5.01","325","00:27:29","149","173","3.2","164","171","5:29","4:24","22","24","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","00:01.46","6","0.0","00:27:22","00:27:29","141","150"
Bieganie,2020-07-20 19:08:32,false,"Gdańsk Bieg","11.01","815","01:03:09","162","184","4.9","164","169","5:44","5:01","40","45","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","00:01.47","12","0.0","01:03:05","01:03:09","136","153"
Pływanie długodystansowe,2020-07-17 14:47:43,false,"Karsin Pływanie długodystansowe","76","12","00:06:04.1","--","--","--","--","--","7:58","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","45","134","7","0:00","29.0","0:00","Nie","06:04.12","1","0.0","00:00:00","00:06:04.1","--","--"
Kolarstwo,2020-07-16 18:01:26,false,"Karsin Kolarstwo","10.66","361","01:01:41","117","160","1.3","--","--","10.4","26.1","69","75","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","02:38.71","3","0.0","00:58:39","01:34:51","134","150"
Kolarstwo,2020-07-15 10:52:22,false,"Karsin Kolarstwo","40.50","1,081","02:38:41","82","109","0.2","--","--","15.3","40.5","258","239","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","Nie","01:49.09","9","0.0","02:36:28","03:32:57","141","193"
Bieganie,2020-07-15 07:41:44,false,"Karsin Bieg","5.01","363","00:29:18","155","176","3.4","164","169","5:51","4:58","13","15","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","00:02.33","6","0.0","00:29:07","00:29:25","139","147"
Kolarstwo,2020-07-14 11:19:46,false,"Karsin Kolarstwo","20.50","524","01:49:44","78","83","0.1","--","--","11.2","28.5","136","125","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","Nie","02:48.77","5","0.0","01:48:28","02:15:46","141","179"
Kolarstwo,2020-07-13 13:34:30,false,"Karsin Kolarstwo","7.20","206","00:33:30","106","124","0.3","--","--","12.9","38.2","58","60","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","09:50.08","2","0.0","00:32:34","00:38:02","134","178"
Kolarstwo,2020-07-13 11:57:03,false,"Karsin Kolarstwo","9.12","251","00:46:23","111","137","0.7","--","--","11.8","26.4","57","50","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","Nie","21:53.88","2","0.0","00:42:12","00:54:49","140","170"
Bieganie,2020-07-13 07:28:02,false,"Karsin Bieg","7.01","536","00:41:54","163","180","4.1","164","171","5:59","4:16","36","39","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","00:02.24","8","0.0","00:41:50","00:41:54","135","150"
Bieganie,2020-07-11 15:29:26,false,"Gdańsk Bieg","11.01","824","01:01:50","163","184","5.0","165","169","5:37","4:53","56","63","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","00:02.50","12","0.0","01:01:47","01:01:50","139","155"
Bieganie,2020-07-10 19:43:29,false,"Gdańsk Bieg","5.01","352","00:27:47","154","172","3.4","163","167","5:33","4:31","21","25","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","00:01.27","6","0.0","00:27:44","00:27:47","140","150"
