Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Inne,2021-09-22 18:46:45,false,"Gdańsk Silka","1.14","225","00:42:34","95","134","0.7","8","197","1.6","26.5","--","--","3.65","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:43.43","2","0.0","--","--","--","--","--","--","00:12:02","00:42:34","62","65"
Kardio,2021-09-22 18:35:32,false,"Cardio","0.00","98","00:07:09.9","145","166","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","07:09.86","1","0.0","--","--","--","--","--","--","00:00:00","00:07:09.9","--","--"
Inne,2021-09-20 17:41:45,false,"Gdańsk Silka","1.25","394","00:50:55","116","144","2.0","9","172","1.5","34.8","4","4","3.06","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:13.74","2","0.0","--","--","--","--","--","--","00:00:00","00:50:55","62","64"
Ergometr wioślarski,2021-09-20 17:29:12,false,"Ergometr wioślarski","--","157","00:12:04","140","159","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","333","--","--","--","--","0:00","0.0","0:00","Nie","12:03.64","1","0.0","--","--","--","--","--","--","00:00:00","00:12:04","--","--"
Inne,2021-09-15 17:47:26,false,"Gdańsk Silka","2.64","490","01:05:28","115","149","2.1","6","157","2.4","35.2","3","3","8.73","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","15:32.39","3","0.0","--","--","--","--","--","--","00:00:00","01:05:28","61","65"
Inne,2021-09-13 18:06:00,false,"Gdańsk Silka","0.01","318","00:56:50","105","139","1.1","8","155","0.0","6.4","--","--","0.03","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","56:49.83","1","0.0","--","--","--","--","--","--","00:00:00","00:56:50","62","63"
Inne,2021-09-04 15:15:20,false,"Gdańsk Silka","2.23","345","00:51:45","109","148","1.6","12","176","2.6","21.3","2","1","5.09","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","06:24.67","3","0.0","--","--","--","--","--","--","00:00:00","00:51:45","62","65"
Ergometr wioślarski,2021-09-04 15:04:19,false,"Ergometr wioślarski","--","116","00:09:21.7","138","156","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","284","--","--","--","--","0:00","0.0","0:00","Nie","09:21.66","1","0.0","--","--","--","--","--","--","00:00:00","00:09:21.7","--","--"
Kolarstwo,2021-09-01 16:17:49,false,"Gdańsk Kolarstwo","15.02","658","01:20:10","144","171","3.4","--","--","11.2","44.6","59","36","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:11.26","4","0.0","--","--","--","--","--","--","00:00:00","01:20:10","5","48"
Kolarstwo,2021-09-01 08:01:51,false,"Gdańsk Kolarstwo","11.89","448","00:38:58","138","168","3.2","--","--","18.3","35.6","29","54","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:19.09","3","0.0","--","--","--","--","--","--","00:00:00","00:39:52","6","48"
Inne,2021-08-30 17:41:15,false,"Gdańsk Silka","0.90","407","00:48:57","123","157","2.4","10","199","1.1","22.7","--","--","1.81","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","48:56.96","1","0.0","--","--","--","--","--","--","00:00:00","00:48:57","61","65"
Kolarstwo,2021-08-18 15:52:01,false,"Gdańsk Kolarstwo","13.29","397","00:54:03","114","149","2.1","--","--","14.7","31.3","57","34","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:28.39","3","0.0","--","--","--","--","--","--","00:00:00","00:54:03","6","48"
Kolarstwo,2021-08-18 07:49:00,false,"Gdańsk Kolarstwo","11.79","271","00:36:01","113","141","2.0","--","--","19.6","37.2","36","63","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:36.96","3","0.0","--","--","--","--","--","--","00:00:00","00:36:01","6","48"
Inne,2021-08-17 18:45:54,false,"Gdańsk Silka","3.68","298","00:45:04","110","129","1.6","12","157","4.9","37.0","8","10","7.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:44.40","4","0.0","--","--","--","--","--","--","00:00:00","00:45:04","59","69"
Bieganie,2021-08-10 18:41:32,false,"Gdańsk Bieg","4.55","751","01:04:17","142","181","3.4","55","249","14:07","3:25","18","16","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","07:42.69","5","0.0","--","--","--","--","--","--","00:43:37","01:04:17","57","64"
Inne,2021-08-06 17:41:55,false,"Gdańsk Silka","2.25","311","00:44:06","105","165","1.9","13","166","3.1","22.1","--","1","3.95","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:23.02","3","0.0","--","--","--","--","--","--","00:24:54","01:02:44","62","65"
Bieganie,2021-08-03 18:37:18,false,"Gdańsk Bieg","6.17","910","01:19:41","139","184","3.4","53","249","12:55","2:55","6","6","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:05.56","7","0.0","--","--","--","--","--","--","00:56:28","01:19:41","58","64"
Inne,2021-08-02 18:34:26,false,"Gdańsk Silka","3.31","369","00:57:29","101","152","1.6","21","162","3.5","37.6","16","13","8.57","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:00.21","4","0.0","--","--","--","--","--","--","00:30:22","00:57:29","61","68"
Kolarstwo,2021-08-02 16:12:12,false,"Gdańsk Kolarstwo","11.56","383","00:46:36","117","150","1.9","--","--","14.9","34.3","53","30","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","13:51.61","3","0.0","--","--","--","--","--","--","00:32:02","00:48:54","6","48"
