Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Kolarstwo,2020-08-23 10:15:17,false,"Kościerzyna (Gmina) Kolarstwo","113.54","3,735","09:26:06","117","154","3.1","--","--","12.0","39.9","535","585","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","09:26:06.01","1","0.0","--","--","--","--","--","--","06:32:41","10:37:18","91","167"
Kolarstwo,2020-08-22 11:14:52,false,"Kartuzy Kolarstwo","66.36","2,245","05:53:28","117","163","2.7","--","--","11.3","48.3","430","525","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:53:27.79","1","0.0","--","--","--","--","--","--","04:26:42","08:04:39","133","249"
Kolarstwo,2020-08-22 07:33:18,false,"Gdańsk Kolarstwo","39.93","1,250","02:33:11","127","165","3.2","--","--","15.6","42.6","462","244","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:33:10.52","1","0.0","--","--","--","--","--","--","02:20:19","03:16:32","15","234"
Inne,2020-08-19 18:17:23,false,"Gdańsk Football","7.09","609","01:41:28","110","141","1.5","53","249","4.2","19.5","44","43","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:41:28.35","1","0.0","--","--","--","--","--","--","01:26:40","01:41:28","47","55"
Kolarstwo,2020-08-15 14:21:17,false,"Gdańsk Kolarstwo","6.74","164","00:31:36","97","116","0.5","--","--","12.8","28.0","20","116","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","31:36.42","1","0.0","--","--","--","--","--","--","00:27:50","00:31:36","--","97"
Kolarstwo,2020-08-15 12:14:13,false,"Gdańsk Kolarstwo","15.91","487","01:29:06","103","138","1.0","--","--","10.7","33.1","274","194","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:29:06.01","1","0.0","--","--","--","--","--","--","01:18:20","01:29:06","15","155"
Inne,2020-08-12 18:11:31,false,"Gdańsk Football","7.02","581","01:40:08","106","136","1.4","54","240","4.2","16.9","56","59","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:40:07.53","1","0.0","--","--","--","--","--","--","01:25:25","01:40:08","47","55"
Kolarstwo,2020-08-09 11:38:46,false,"Gdańsk Kolarstwo","40.99","1,094","02:18:53","128","166","3.2","--","--","17.7","50.6","437","422","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:18:53.05","1","0.0","--","--","--","--","--","--","02:11:37","02:47:20","13","159"
Kolarstwo,2020-08-08 16:42:45,false,"Sztutowo Kolarstwo","20.88","533","01:31:30","109","144","1.8","--","--","13.7","29.6","59","73","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:31:29.84","1","0.0","--","--","--","--","--","--","01:22:18","01:38:43","-1","26"
Kolarstwo,2020-08-08 13:08:20,false,"Stegna Kolarstwo","21.38","584","01:41:52","106","127","1.3","--","--","12.6","27.3","75","61","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:41:52.19","1","0.0","--","--","--","--","--","--","01:31:33","01:41:52","-1","24"
Inne,2020-08-05 18:07:52,false,"Gdańsk Football","7.13","567","01:33:27","111","138","1.7","63","249","4.6","22.5","32","30","1.21","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:33:27.48","1","0.0","--","--","--","--","--","--","01:22:09","01:33:27","47","55"
Chodzenie,2020-07-21 09:13:29,false,"Ehrwald Spacerowanie","20.87","2,355","06:24:43","108","163","3.2","64","230","18:26","6:13","1,020","1,111","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:06.16","21","0.0","--","--","--","--","--","--","04:40:07","08:01:42","979","1,900"
Chodzenie,2020-07-18 09:09:52,false,"San Martino in Badia Spacerowanie","20.22","2,092","06:18:03","105","150","2.0","68","232","18:41","5:21","764","1,201","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","07:07.92","21","0.0","--","--","--","--","--","--","04:53:03","08:32:14","1,681","2,351"
Chodzenie,2020-07-17 10:31:32,false,"Rodengo Spacerowanie","21.51","2,540","06:37:20","113","155","2.9","75","211","18:29","8:05","954","553","0.72","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:05.12","23","0.0","--","--","--","--","--","--","05:15:27","07:53:28","1,716","2,157"
Chodzenie,2020-07-13 09:33:04,false,"Krimml Spacerowanie","18.61","2,879","07:46:59","114","161","3.1","43","209","25:06","8:05","1,381","1,383","1.24","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","10:07.31","19","0.0","--","--","--","--","--","--","04:01:28","08:52:27","1,423","2,804"
Chodzenie,2020-07-12 14:10:28,false,"Krimml Spacerowanie","15.07","1,506","04:27:20","106","145","2.0","71","216","17:44","0:46","735","766","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:02.67","16","0.0","--","--","--","--","--","--","03:23:10","04:27:20","1,032","1,594"
Inne,2020-07-07 20:05:40,false,"Gdańsk Football","4.67","470","01:26:42","104","127","0.6","42","249","3.2","17.0","--","--","1.30","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:26:41.68","1","0.0","--","--","--","--","--","--","01:06:30","01:26:42","5","6"
Kolarstwo,2020-06-25 19:52:50,false,"Kosakowo Kolarstwo","33.73","976","02:13:17","122","149","2.7","--","--","15.2","41.1","169","154","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:13:16.97","1","0.0","--","--","--","--","--","--","01:52:17","02:13:17","-3","65"
Kolarstwo,2020-06-13 11:40:10,false,"Chojnice (Gmina) Kolarstwo","50.99","1,475","04:36:25","104","140","1.3","--","--","11.1","34.1","340","342","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:36:24.87","1","0.0","--","--","--","--","--","--","04:04:03","08:29:41","116","154"
Kolarstwo,2020-06-12 14:56:51,false,"Chojnice (Gmina) Kolarstwo","24.33","784","02:10:34","110","156","2.1","--","--","11.2","31.5","196","199","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:10:34.31","1","0.0","--","--","--","--","--","--","01:47:51","02:10:34","118","173"
Kolarstwo,2020-06-07 08:59:35,false,"Gdańsk Kolarstwo","58.77","1,832","03:57:48","127","167","3.2","--","--","14.8","49.8","496","488","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:57:47.56","1","0.0","--","--","--","--","--","--","03:19:53","05:10:37","5","160"
Kolarstwo,2020-06-01 18:03:17,false,"Gdańsk Kolarstwo","19.31","515","01:14:13","114","149","2.1","--","--","15.6","42.3","118","118","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:07:32","01:14:13","5","103"
Kolarstwo,2020-05-31 11:44:11,false,"Gdańsk Kolarstwo","34.25","968","02:33:10","110","149","1.7","--","--","13.4","30.1","323","326","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","02:22:04","03:16:23","8","168"
Kolarstwo,2020-05-28 16:44:18,false,"Gdańsk Kolarstwo","25.64","797","01:33:52","130","166","3.2","--","--","16.4","30.5","342","332","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:27:14","01:42:37","15","159"
Kolarstwo,2020-05-22 16:20:45,false,"Gdańsk Kolarstwo","10.41","448","01:03:07","114","137","2.0","--","--","9.9","28.2","27","27","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:49:37","01:03:07","-4","16"
Kolarstwo,2020-05-09 07:15:37,false,"Gdańsk Kolarstwo","120.89","3,321","07:02:33","130","171","4.2","--","--","17.2","52.1","999","997","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:00:00","08:29:48","23","274"
Bieganie,2020-05-04 16:59:14,false,"Gdańsk Bieg","5.00","397","00:26:32","162","183","4.0","160","199","5:18","4:44","25","28","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.22","6","0.0","--","--","--","--","--","--","00:26:29","00:27:25","6","41"
Kolarstwo,2020-05-02 10:32:23,false,"Gdańsk Kolarstwo","30.34","865","01:38:41","133","169","3.5","--","--","18.4","40.2","286","290","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:34:20","01:38:41","8","159"
Kolarstwo,2020-04-26 11:46:51,false,"Gdańsk Kolarstwo","36.28","1,267","02:57:22","124","157","3.2","--","--","12.3","45.7","452","441","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","02:20:27","03:27:30","15","157"
Kolarstwo,2020-04-23 17:34:17,false,"Gdańsk Kolarstwo","20.69","844","01:58:23","119","153","2.5","--","--","10.5","30.0","257","260","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:42:56","01:58:23","3","155"
Kolarstwo,2020-04-22 16:44:49,false,"Gdańsk Kolarstwo","25.01","744","01:43:13","119","150","2.3","--","--","14.5","32.0","59","61","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.38","3","0.0","--","--","--","--","--","--","01:26:43","02:38:02","-1","28"
Kolarstwo,2020-04-20 16:38:17,false,"Gdańsk Kolarstwo","25.40","834","01:35:23","132","168","3.3","--","--","16.0","35.0","321","322","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:30:48","01:35:23","15","155"
Kolarstwo,2020-04-19 13:09:31,false,"Gdańsk Kolarstwo","27.07","780","01:14:49","137","164","3.4","--","--","21.7","38.5","43","46","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:10:32","01:15:22","-3","36"
Kolarstwo,2020-04-16 15:43:34,false,"Gdańsk Kolarstwo","3.90","108","00:13:41","111","134","0.8","--","--","17.1","34.3","32","24","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:10:31","00:13:41","11","39"
Bieganie,2020-04-16 15:16:23,false,"Gdańsk Bieg","3.25","245","00:17:37","153","181","3.2","161","174","5:25","4:38","5","3","1.15","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:25.95","4","0.0","--","--","--","--","--","--","00:17:32","00:17:40","13","26"
Kolarstwo,2020-04-09 16:03:29,false,"Gdańsk Kolarstwo","8.15","280","00:27:36","127","163","2.4","--","--","17.7","37.7","79","28","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:24:17","00:27:36","-4","75"
Bieganie,2020-04-08 17:00:19,false,"Gdańsk Bieg","5.28","423","00:28:23","163","182","4.0","158","168","5:22","4:50","34","39","1.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:29.96","6","0.0","--","--","--","--","--","--","00:28:13","00:29:58","9","58"
Kolarstwo,2020-04-07 20:03:31,false,"Gdańsk Kolarstwo","8.09","226","00:24:20","122","142","2.0","--","--","20.0","34.5","13","69","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:23:07","00:24:20","5","72"
Kolarstwo,2020-04-07 15:44:20,false,"Gdańsk Kolarstwo","6.26","204","00:27:32","112","129","1.2","--","--","13.6","36.2","71","10","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:22:24","00:27:32","5","75"
Bieganie,2020-04-06 16:49:55,false,"Gdańsk Bieg","5.20","410","00:29:01","158","183","4.1","158","168","5:35","5:08","42","50","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:02.65","6","0.0","--","--","--","--","--","--","00:28:21","00:30:19","9","58"
Kolarstwo,2020-03-28 17:48:52,false,"Gdańsk Kolarstwo","6.72","212","00:25:49","117","139","1.8","--","--","15.6","39.6","71","122","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:21:56","00:25:49","15","95"
Kolarstwo,2020-03-28 12:14:22,false,"Gdańsk Kolarstwo","15.34","651","01:20:34","124","155","2.7","--","--","11.4","34.2","205","154","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:06:58","01:51:29","15","151"
Kolarstwo,2020-03-27 16:56:32,false,"Gdańsk Kolarstwo","4.95","225","00:27:40","118","137","1.9","--","--","10.7","27.9","26","17","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:18:39","00:27:40","-3","20"
Kolarstwo,2020-03-27 16:08:23,false,"Gdańsk Kolarstwo","6.88","345","00:33:02","132","160","2.8","--","--","12.5","38.1","133","90","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:23:48","00:33:02","15","95"
Bieganie,2020-03-26 16:25:40,false,"Gdańsk Bieg","5.50","425","00:29:38","159","182","4.1","159","242","5:24","4:44","14","17","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:48.33","6","0.0","--","--","--","--","--","--","00:29:24","00:31:11","6","20"
Bieganie,2020-03-19 17:25:52,false,"Gdańsk Bieg","5.34","462","00:30:13","170","183","4.6","158","169","5:39","4:58","10","14","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:01.83","6","0.0","--","--","--","--","--","--","00:30:03","00:31:11","6","35"
Bieganie,2020-03-18 16:53:29,false,"Gdańsk Bieg","5.50","484","00:33:16","162","185","4.4","156","168","6:03","5:07","68","69","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:46.27","6","0.0","--","--","--","--","--","--","00:32:36","00:35:07","9","72"
Kolarstwo,2020-03-17 15:08:53,false,"Gdańsk Kolarstwo","27.46","951","02:11:08","120","157","2.7","--","--","12.6","34.2","145","145","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:49:04","02:32:50","-4","95"
Joga,2020-03-10 18:40:32,false,"Joga","0.00","330","01:17:45","95","145","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","16","12","24","22","63","85","01:17:45","01:17:45","--","--"
Inne,2020-03-08 17:12:06,false,"Gdańsk Football","16.71","604","02:12:05","95","124","0.7","40","249","7.6","70.4","24","62","3.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:35:02","02:12:05","3","61"
Kolarstwo,2020-03-08 10:09:12,false,"Gdańsk Kolarstwo","30.26","1,079","02:11:08","129","168","3.2","--","--","13.8","37.9","296","312","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:55:44","02:38:46","10","157"
Pływanie w basenie,2020-03-06 18:00:21,false,"Pływanie w basenie","1,425","429","00:40:06","123","146","2.3","--","--","2:43","1:05","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1043","59","27","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:38:45","00:40:11","--","--"
Joga,2020-03-02 20:04:39,false,"Joga","0.00","196","01:12:56","78","121","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","19","12","24","19","48","67","01:12:56","01:12:56","--","--"
Inne,2020-03-01 17:04:23,false,"Gdańsk Football","7.15","558","01:49:21","100","126","0.8","55","249","3.9","20.4","2","3","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:26:32","01:49:21","48","50"
Trening siłowy,2020-02-29 18:02:15,false,"Strength","0.00","549","01:02:32","126","149","2.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","34","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:02:29","01:02:32","--","--"
Bieg na bieżni,2020-02-29 17:53:43,false,"Bieg na bieżni","0.94","81","00:07:14.2","129","147","1.6","141","161","7:44","6:24","--","--","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:06:36","00:07:14.2","--","--"
Joga,2020-02-25 20:32:50,false,"Joga","0.00","310","01:18:22","94","145","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","15","12","23","-93","93","0","01:18:22","01:18:22","--","--"
Bieganie,2020-02-24 18:03:37,false,"Gdańsk Biegi","5.32","352","00:31:02","136","153","2.8","154","166","5:50","5:22","241","213","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:48.27","7","0.0","--","--","--","--","--","--","00:29:43","00:33:43","17","73"
Pływanie w basenie,2020-02-21 18:01:26,false,"Pływanie na basenie","1,250","363","00:38:27","123","143","2.2","--","--","2:49","1:02","--","--","0.00","0.0","0.0","0.0","0.0","0.0","855","59","24","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:35:15","00:38:40","--","--"
Bieganie,2020-02-20 18:07:39,false,"Gdańsk Biegi","5.15","377","00:30:09","143","170","3.2","158","227","5:51","4:37","26","27","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:51.85","6","0.0","--","--","--","--","--","--","00:30:02","00:31:36","9","35"
Pływanie w basenie,2020-02-17 20:40:19,false,"Pływanie na basenie","1,075","303","00:38:30","124","164","2.5","--","--","2:35","1:02","--","--","0.00","0.0","0.0","0.0","0.0","0.0","648","54","23","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:27:44","00:39:02","--","--"
Pływanie w basenie,2020-02-14 18:00:04,false,"Pływanie na basenie","1,200","358","00:39:54","130","149","2.5","--","--","2:51","2:23","--","--","0.00","0.0","0.0","0.0","0.0","0.0","988","63","29","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:34:14","00:40:07","--","--"
Joga,2020-02-11 20:33:08,false,"Joga","0.00","231","01:11:09","85","126","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","16","9","23","-15","91","76","01:11:09","01:11:09","--","--"
Pływanie w basenie,2020-02-07 18:00:31,false,"Pływanie na basenie","1,325","389","00:39:27","141","163","3.2","--","--","2:37","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1013","58","29","--","--","0:00","0.0","0:00","Nie","00:00.85","2","0.0","--","--","--","--","--","--","00:34:34","00:40:11","--","--"
Kardio,2020-02-03 19:59:29,false,"Cardio","0.00","530","00:51:01","137","161","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:00:00","00:51:01","--","--"
Bieg na bieżni,2020-01-20 20:11:28,false,"Bieg na bieżni","3.22","292","00:23:02","152","175","3.7","146","166","7:10","5:05","--","--","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:58.68","4","0.0","--","--","--","--","--","--","00:22:19","00:23:02","--","--"
Pływanie w basenie,2020-01-17 18:03:06,false,"Pływanie na basenie","1,200","386","00:35:48","131","155","2.5","--","--","2:55","2:31","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1081","66","31","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:34:55","00:36:04","--","--"
Pływanie w basenie,2020-01-13 20:01:15,false,"Pływanie na basenie","1,275","417","00:37:16","144","163","3.3","--","--","2:51","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1086","64","30","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:36:23","00:37:22","--","--"
Pływanie w basenie,2020-01-10 18:01:39,false,"Pływanie na basenie","1,100","350","00:36:56","140","168","3.3","--","--","2:59","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1076","69","33","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:32:48","00:37:03","--","--"
Pływanie w basenie,2020-01-03 18:03:32,false,"Pływanie na basenie","1,450","487","00:37:34","133","159","2.7","--","--","2:30","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1243","59","34","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:36:13","00:37:42","--","--"
Kardio,2019-12-08 11:19:01,false,"Cardio","0.00","633","01:00:43","132","165","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:00:00","01:00:43","--","--"
Bieg na bieżni,2019-12-08 10:58:44,false,"Bieg na bieżni","2.15","212","00:14:51","145","167","2.9","151","164","6:54","4:55","--","--","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:15.12","3","0.0","--","--","--","--","--","--","00:14:45","00:14:51","--","--"
Kardio,2019-12-05 17:35:09,false,"Cardio","0.00","490","00:43:00","133","159","2.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:00:00","00:43:47","--","--"
Bieg na bieżni,2019-12-05 17:26:36,false,"Bieg na bieżni","0.98","63","00:07:07.4","111","139","0.6","141","158","7:14","5:31","--","--","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:06:47","00:07:07.4","--","--"
Joga,2019-11-16 18:56:04,false,"Joga","0.00","52","00:09:50.2","92","113","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","0","0","0","00:09:50.2","00:09:50.2","--","--"
Trening siłowy,2019-11-16 18:05:27,false,"Strength","0.00","395","00:49:58","117","152","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","152","23","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:14:14","00:50:04","--","--"
Bieg na bieżni,2019-11-16 17:45:41,false,"Bieg na bieżni","2.24","187","00:15:19","132","164","2.6","144","160","6:51","4:58","--","--","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:30.01","3","0.0","--","--","--","--","--","--","00:14:52","00:15:19","--","--"
Bieganie,2019-11-12 19:15:26,false,"Gdańsk - Bieg progresywny","6.40","609","00:36:24","168","183","4.9","157","199","5:41","4:31","15","17","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:23.84","8","0.0","--","--","--","--","--","--","00:36:06","00:37:41","6","20"
Trening siłowy,2019-11-09 15:18:03,false,"Strength","0.00","688","01:30:32","119","152","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","270","29","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:37:34","01:32:41","--","--"
Bieg na bieżni,2019-11-09 14:56:18,false,"Bieg na bieżni","2.07","200","00:15:10","139","171","2.8","139","164","7:20","5:47","--","--","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:26.30","3","0.0","--","--","--","--","--","--","00:14:28","00:15:10","--","--"
Bieganie,2019-11-05 18:38:21,false,"Gdańsk - Spokojny bieg","9.03","829","00:50:00","166","181","5.0","159","170","5:32","4:06","28","26","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:45.29","10","0.0","--","--","--","--","--","--","00:49:47","00:52:06","6","23"
Bieganie,2019-11-03 17:16:45,false,"Gdańsk - Bieg progresywny","6.01","488","00:34:15","147","169","3.4","156","170","5:42","4:56","16","15","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:03.28","7","0.0","--","--","--","--","--","--","00:33:53","00:34:46","6","20"
Bieganie,2019-11-01 14:27:41,false,"Gdańsk - Serie z prawie sprintem","4.73","404","00:25:28","160","182","3.9","156","170","5:23","3:31","14","15","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.45","26","0.0","--","--","--","--","--","--","00:24:59","00:27:00","8","20"
