Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2019-07-13 16:29:23,false,"Gdańsk Kolarstwo","38.09","816","02:16:27","121","164","--","0","0","16.8","48.1","282","280","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","10:59.84","8","0.0","02:00:45","02:16:29","58","159"
Running,2019-07-12 16:48:17,false,"Gdańsk Biegi","7.00","524","00:42:01","161","184","--","153","170","6:00","4:42","103","97","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","05:22.30.3","7","0.0","00:41:02","00:42:01","26","87"
Running,2019-07-10 20:35:56,false,"Gdańsk - Spokojny bieg","7.89","560","00:45:24","159","177","--","149","190","5:45","2:58","70","70","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:02.56.9","10","0.0","00:43:02","00:45:24","47","102"
Cycling,2019-07-10 15:21:15,false,"Gdańsk Kolarstwo","9.13","215","00:35:57","111","138","--","0","0","15.2","30.3","74","15","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","16:10.48.9","2","0.0","00:32:40","00:35:57","-7","55"
Running,2019-07-08 18:26:02,false,"Gdańsk Biegi","10.03","721","01:00:54","159","177","--","154","171","6:04","3:55","92","92","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:16.70.6","11","0.0","00:59:19","01:00:54","104","151"
Running,2019-07-07 19:31:05,false,"Gdańsk - Spokojny bieg","4.72","375","00:30:02","160","186","--","151","232","6:22","5:25","25","46","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:01.78.9","7","0.0","00:29:04","00:30:02","48","86"
Running,2019-07-04 15:59:52,true,"Gdańsk - Spokojny bieg","7.50","531","00:42:41","159","175","--","155","166","5:42","4:37","61","49","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:29.99.6","9","0.0","00:41:44","00:46:51","24","57"
Cycling,2019-07-03 16:45:05,false,"Gdańsk Kolarstwo","23.11","576","01:20:06","130","174","--","0","0","17.3","47.1","164","165","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","11:46.41.6","5","0.0","01:12:47","01:20:06","35","153"
Running,2019-07-02 10:33:04,false,"Gdańsk - Spokojny bieg","5.49","371","00:30:44","155","175","--","153","172","5:36","4:10","26","32","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","01:29.12.5","7","0.0","00:29:59","00:30:44","63","85"
Running,2019-07-01 18:26:06,false,"Gdańsk - Bieg wzorcowy","1.72","91","00:09:14.9","136","153","--","148","165","5:23","3:44","1","1","1.24","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","00:14.89","5","0.0","00:08:56","00:09:14.9","35","38"
Cycling,2019-06-30 12:09:40,false,"Gdańsk Kolarstwo","3.37","121","00:13:36","127","153","--","0","0","14.8","45.2","19","34","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","00:00.00","1","0.0","00:11:58","00:13:36","46","75"
Running,2019-06-29 12:00:28,false,"Stężyca Biegi","5.21","344","00:26:23","165","182","--","151","171","5:04","2:47","39","35","1.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","00:52.95","6","0.0","00:25:27","00:26:23","160","189"
Cycling,2019-06-29 11:11:31,false,"Stężyca Kolarstwo","22.59","541","00:48:36","149","170","--","0","0","27.9","49.6","51","49","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","06:21.34.8","5","0.0","00:48:18","00:48:36","152","182"
Cycling,2019-06-28 09:00:59,false,"Gdańsk Kolarstwo","8.53","187","00:35:05","106","144","--","0","0","14.6","38.7","89","42","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","14:40.63.3","2","0.0","00:31:02","00:35:05","2","67"
Cycling,2019-06-25 17:20:50,false,"Gdańsk Kolarstwo","29.51","814","02:30:54","111","161","--","0","0","11.7","35.9","76","27","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","15:04.24.9","6","0.0","01:46:18","03:06:00","11","79"
Running,2019-06-24 19:47:57,false,"Gdańsk Biegi","6.84","487","00:38:11","163","185","--","156","171","5:35","3:35","138","67","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","04:31.72.2","7","0.0","00:37:21","00:41:39","19","86"
Cycling,2019-06-20 10:11:41,false,"Hel Kolarstwo","98.16","2,420","06:07:57","126","166","--","0","0","16.0","43.4","318","258","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","10:47.84.3","20","0.0","00:00:00","07:49:42","-20","74"
Running,2019-06-11 19:49:13,false,"Gdańsk Biegi","9.00","616","00:47:49","165","187","--","154","179","5:19","3:40","109","100","1.22","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","04:51.77.4","9","0.0","00:47:04","00:49:29","21","79"
Running,2019-06-08 14:36:51,false,"Gdańsk Biegi","5.23","351","00:28:04","160","189","--","150","162","5:22","4:21","36","52","1.24","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:13.01.5","6","0.0","00:27:49","00:28:04","2","50"
Running,2019-06-06 19:37:08,false,"Gdańsk Biegi","2.57","150","00:12:49","149","158","--","159","176","4:59","1:38","36","54","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","02:43.23.8","3","0.0","00:12:36","00:12:49","43","69"
Cycling,2019-06-06 18:34:58,false,"Gdańsk Kolarstwo","22.53","519","00:56:11","135","164","--","0","0","24.1","51.7","82","94","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","07:24.21.6","5","0.0","00:54:46","00:56:28","11","87"
Running,2019-06-05 17:01:25,false,"Gdańsk Biegi","5.09","361","00:30:15","155","169","--","155","179","5:57","3:13","27","46","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","00:32.03.2","6","0.0","00:30:00","00:30:15","55","84"
Running,2019-06-02 19:24:02,false,"Gdańsk Biegi","6.00","368","00:29:37","161","178","--","156","169","4:56","4:00","2","4","1.30","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:00.47.6","7","0.0","00:29:10","00:29:37","-4","0"
Cycling,2019-06-01 12:43:47,false,"Gdańsk Kolarstwo","50.51","1,091","02:07:14","144","171","--","0","0","23.8","51.5","184","181","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","01:36.04.7","11","0.0","02:05:23","02:11:39","59","161"
Running,2019-05-30 15:25:31,false,"Gdańsk Biegi","6.00","401","00:30:01","172","191","--","157","171","5:00","3:31","75","50","1.28","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","04:31.48.3","6","0.0","00:29:45","00:30:21","35","87"
Pool Swimming,2019-05-29 21:19:10,false,"Pływanie na basenie","750","152","00:27:55","0","0","--","0","0","3:18","1:39","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","668","72","27","0","--","0:00","26.0","0:00","No","00:01.24.6","7","0.0","00:24:48","00:28:24","--","--"
Cycling,2019-05-29 15:33:04,false,"Gdańsk Kolarstwo","4.15","110","00:14:20","122","162","--","0","0","17.4","52.0","40","52","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","00:00.00","1","0.0","00:12:28","00:14:20","40","76"
Hiking,2019-05-26 12:15:27,false,"Kvam Piesze wędrówki","10.04","667","03:04:39","93","148","--","44","167","18:24","6:09","116","618","1.36","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:03.87.8","11","0.0","01:30:01","04:34:02","239","822"
Hiking,2019-05-26 11:07:16,false,"Kvam Piesze wędrówki","1.65","204","01:02:54","86","142","--","26","160","38:03","2:49","70","75","1.03","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","25:16.67.1","2","0.0","00:20:51","01:02:55","795","841"
Hiking,2019-05-24 06:54:37,false,"Voss Piesze wędrówki","24.57","2,415","11:34:32","92","170","--","32","193","28:15","0:51","969","1,371","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","11:39.50.2","25","0.0","04:35:15","13:14:16","588","1,269"
Hiking,2019-05-23 08:09:21,false,"Voss Piesze wędrówki","10.41","1,165","04:11:20","106","163","--","32","184","24:09","0:38","747","231","1.38","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","09:02.12.7","11","0.0","01:40:39","04:13:20","672","1,297"
Hiking,2019-05-22 13:17:12,false,"Voss Piesze wędrówki","7.94","765","02:26:08","114","167","--","53","220","18:24","1:19","606","12","1.30","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","10:46.35.6","8","0.0","01:21:10","02:26:13","79","658"
Running,2019-05-10 14:49:39,false,"Łeba Biegi","5.93","379","00:30:33","160","177","--","154","163","5:09","3:58","7","9","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:00.00","1","0.0","00:30:21","00:30:35","-12","-7"
Cycling,2019-05-08 14:26:38,false,"Gdańsk Kolarstwo","22.45","613","00:59:09","145","178","--","0","0","22.8","52.4","262","255","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","06:54.10","5","0.0","00:57:14","00:59:09","-30","75"
Running,2019-05-07 15:18:16,false,"Gdańsk Biegi","4.90","351","00:27:51","165","181","--","150","185","5:41","3:46","60","59","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:00.39.8","6","0.0","00:27:23","00:27:51","36","58"
Other,2019-05-03 12:33:32,false,"Łeba Śledź mnie","14.50","885","03:28:25","104","153","--","0","0","4.2","16.5","70","71","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:00.00","1","0.0","02:53:09","03:52:36","3","34"
Cycling,2019-05-01 10:37:52,false,"Gdańsk Kolarstwo","34.60","911","01:40:41","142","182","--","0","0","20.6","48.1","270","169","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","11:25.41.1","7","0.0","01:35:32","02:26:23","51","195"
Running,2019-04-29 18:43:56,false,"Gdańsk Biegi","4.10","321","00:25:12","166","188","--","153","166","6:09","4:11","31","13","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:32.58.9","5","0.0","00:24:41","00:25:29","40","70"
Cycling,2019-04-27 10:31:41,false,"Gdańsk Kolarstwo","23.63","628","01:25:04","130","174","--","0","0","16.7","45.4","154","168","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","14:18.58.1","5","0.0","01:17:19","01:40:08","13","82"
Other,2019-04-16 15:07:13,false,"Pomorie Śledź mnie","1,049.34","231","01:27:59","80","95","--","0","0","7.8","121.7","2,130","2,025","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","No","00:00.00","1","0.0","01:27:42","01:28:02","-500","4,054"
Running,2019-04-15 13:51:29,false,"Nesebar Biegi","10.13","785","01:02:17","161","181","--","146","247","6:09","4:16","51","50","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:39.31.6","11","0.0","00:59:01","01:02:17","22","51"
Running,2019-04-05 16:18:17,false,"Gdańsk Biegi","6.13","425","00:33:06","158","180","--","155","172","5:24","3:08","83","77","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:43.95.6","7","0.0","00:32:32","00:34:26","41","89"
Running,2019-04-02 15:42:25,false,"Gdańsk Biegi","6.86","507","00:38:30","163","185","--","151","175","5:37","4:27","70","64","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","04:43.98.8","7","0.0","00:37:52","00:39:10","52","107"
Walking,2019-03-31 12:53:35,false,"Kolbudy Spacerowanie","3.85","238","00:48:55","97","115","--","101","121","12:42","9:39","59","63","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","09:31.81.8","4","0.0","00:48:20","00:48:55","73","94"
Cycling,2019-03-30 09:25:45,false,"Gdańsk Kolarstwo","27.69","714","02:06:00","112","158","--","0","0","13.2","46.1","155","150","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","10:32.46.1","6","0.0","00:25:01","02:06:00","43","159"
Running,2019-03-28 15:48:08,false,"Gdańsk Biegi","5.28","369","00:28:34","158","176","--","151","168","5:25","3:37","51","54","1.22","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","01:32.30.2","6","0.0","00:27:49","00:28:34","32","86"
Cycling,2019-03-23 11:36:55,false,"Gdańsk Kolarstwo","31.35","849","02:13:31","117","155","--","0","0","14.1","42.8","104","101","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","08:11.58.4","7","0.0","01:50:09","02:47:06","15","94"
Running,2019-03-16 12:31:08,false,"Gdańsk - Biegi","8.14","624","00:45:18","166","187","--","154","172","5:34","3:09","77","83","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:39.55.6","9","0.0","00:44:21","00:45:18","24","90"
Pool Swimming,2019-03-13 19:58:30,false,"Pływanie na basenie","925","196","00:25:56","0","0","--","0","0","2:39","0:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","647","57","26","0","--","0:00","26.0","0:00","No","00:01.69","7","0.0","00:24:31","00:26:27","--","--"
Running,2019-03-12 18:25:53,false,"Gdańsk - Biegi","6.00","456","00:36:21","155","175","--","137","236","6:04","3:23","61","58","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","05:08.28.2","6","0.0","00:32:22","00:36:21","44","89"
Pool Swimming,2019-03-06 15:58:37,false,"Pływanie na basenie","1,150","235","00:36:48","0","0","--","0","0","2:48","1:02","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","835","60","26","0","--","0:00","26.0","0:00","No","00:01.10.5","41","0.0","00:32:15","00:38:10","--","--"
Pool Swimming,2019-03-04 15:57:48,false,"Pływanie na basenie","1,175","138","00:40:11","0","0","--","0","0","2:52","1:33","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","552","64","28","0","--","0:00","26.0","0:00","No","00:09.73","14","0.0","00:33:42","00:40:17","--","--"
Running,2019-03-03 12:19:58,false,"Gdańsk - Biegi","5.33","395","00:29:40","162","183","--","153","170","5:34","3:12","63","83","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","01:59.38.9","6","0.0","00:29:13","00:29:40","28","74"
Running,2019-02-28 14:58:46,false,"Gdańsk Biegi","5.09","335","00:27:03","152","172","--","151","193","5:19","3:53","53","58","1.24","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","04:51.25.7","6","0.0","00:26:24","00:27:03","45","82"
Running,2019-02-19 12:34:31,false,"Gdańsk Biegi","6.06","438","00:33:37","160","177","--","152","197","5:33","3:00","73","75","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","04:48.21.8","7","0.0","00:33:12","00:34:19","49","89"
Running,2019-02-16 12:16:16,false,"Gdańsk Biegi","5.28","435","00:31:48","167","189","--","149","202","6:01","3:38","57","107","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","05:04.51","6","0.0","00:31:13","00:31:48","27","95"
Running,2019-02-10 10:02:37,false,"Gdańsk Biegi","5.18","398","00:29:31","163","191","--","154","166","5:42","3:56","52","52","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","05:27.51.3","6","0.0","00:29:13","00:29:31","27","75"
Running,2019-02-06 13:21:40,false,"Gdańsk Biegi","4.55","347","00:26:18","160","182","--","153","168","5:47","4:57","61","62","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","05:22.07.2","5","0.0","00:26:03","00:26:18","42","84"
Walking,2019-02-03 13:29:36,false,"Kolbudy Spacerowanie","4.02","278","00:54:10","108","130","--","94","247","13:28","7:10","55","62","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","10:33.46.3","5","0.0","00:49:24","00:54:10","102","117"
Running,2019-02-02 18:34:20,false,"Gdańsk Biegi","3.74","281","00:21:33","156","177","--","150","170","5:46","4:02","37","39","1.16","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","05:14.31.5","4","0.0","00:21:20","00:21:33","29","61"
Running,2019-01-22 11:10:08,false,"Gdańsk Biegi","2.23","150","00:12:19","146","156","--","154","190","5:31","4:32","34","37","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:00.00","3","0.0","00:12:14","00:12:19","-34","58"
Mountaineering,2019-01-20 10:01:18,false,"Karpacz Wspinaczka","4.92","434","01:06:01","115","153","--","77","189","4.5","11.0","11","654","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:00.00","1","0.0","00:49:37","01:06:01","839","1,487"
Mountaineering,2019-01-19 09:22:32,false,"Spindleruv Mlyn Wspinaczka","16.83","1,978","05:24:55","121","166","--","54","168","3.1","6.4","533","377","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:00.00","1","0.0","04:07:24","05:24:57","1,168","1,466"
Mountaineering,2019-01-18 08:35:36,false,"Szklarska Poręba Wspinaczka","15.66","2,906","07:03:27","128","178","--","36","210","2.2","6.1","891","493","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","4.0","0:00","No","00:00.00","1","0.0","04:41:00","07:13:22","869","1,527"
Mountaineering,2019-01-17 23:54:24,false,"Szklarska Poręba Wspinaczka","1.49","203","00:24:34","120","172","--","68","129","3.6","5.8","125","--","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:00.00","1","0.0","00:19:14","00:24:34","709","838"
Running,2019-01-16 19:45:16,false,"Biegi","5.65","262","01:14:43","86","132","--","2","148","13:14","8:28","3","--","61.45","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","07:06.14","6","0.0","00:59:27","01:14:43","102","106"
Walking,2019-01-13 12:42:09,false,"Kolbudy Spacerowanie","4.00","257","00:53:50","100","130","--","93","215","13:27","9:49","65","52","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:00.00","5","0.0","00:50:30","00:53:50","100","229"
Walking,2019-01-12 13:26:16,false,"Gdańsk Spacerowanie","2.92","184","00:36:12","100","116","--","94","238","12:25","5:45","67","62","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:00.00","3","0.0","00:33:23","00:36:12","172","235"
Other,2019-01-08 15:35:49,false,"Śledź mnie","0.00","604","02:34:09","98","128","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","00:00.00","1","0.0","00:00:00","02:34:43","63","86"
Running,2019-01-08 14:58:07,false,"Gdańsk Biegi","2.57","190","00:15:12","152","183","--","149","237","5:55","4:06","29","27","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:00.00","3","0.0","00:15:03","00:15:12","43","74"
Other,2019-01-08 08:13:39,false,"Gdańsk Śledź mnie","74.25","1,537","06:43:34","92","143","--","0","0","11.0","118.2","402","382","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","00:00.00","1","0.0","02:47:00","06:43:40","-92","200"
Running,2019-01-06 09:52:18,false,"Gdańsk Biegi","2.23","151","00:11:36","153","187","--","153","166","5:12","4:21","27","29","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:00.00","3","0.0","00:11:27","00:11:36","-30","-5"
Other,2019-01-05 13:43:15,false,"Toruń Śledź mnie","0.65","47","00:10:24","92","107","--","0","0","3.8","8.1","7","3","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","00:00.00","1","0.0","00:06:45","00:10:24","40","52"
Running,2019-01-03 15:45:11,false,"Gdańsk Biegi","1.41","102","00:08:05.9","147","158","--","151","159","5:45","4:44","8","13","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","00:00.00","2","0.0","00:08:06","00:08:05.9","-2","7"
